hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode,src
12,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-4,35660,a
12,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-4,35660,b
12,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-4a,35660a,d
12,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-4a,35660a,c
12,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-4a,35660a,e
13,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-5,35660,c
13,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-5,35660,d
13,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-5a,35660a,e
13,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-5a,35660a,b
13,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-5a,35660a,a
14,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-7a,35660,c
14,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-7a,35660,d
14,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-7aa,35660a,e
14,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-7aa,35660a,a
14,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-7aa,35660a,b
15,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-8a,35660,b
15,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_ami-8a,35660,d
15,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_ami-8aa,35660a,e
15,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-8aa,35660a,c
15,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_ami-8aa,35660a,a
16,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-1,35660,b
16,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-1,35660,a
16,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-1a,35660a,e
16,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-1a,35660a,d
16,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-1a,35660a,c
17,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-2,35660,c
17,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-2,35660,b
17,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-2a,35660a,e
17,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-2a,35660a,a
17,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-2a,35660a,d
18,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-3,35660,a
18,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-3,35660,e
18,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-3a,35660a,c
18,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-3a,35660a,b
18,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-3a,35660a,d
19,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-4,35660,d
19,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019,al,al_hf-4,35660,c
19,1300 south montgomery avenuea,sheffielda,jeffersona,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556a,10019a,ala,al_hf-4a,35660a,e
19,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-4a,35660a,a
19,1300 south montgomery avenue,sheffield,jefferson,helen keller memorial hospital,government - hospital district or authority,acute care hospitals,2563864556,10019a,ala,al_hf-4a,35660a,b
20,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-1,36302,b
20,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-1,36302,a
20,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-1a,36302a,d
20,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-1a,36302a,e
20,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-1a,36302a,c
21,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-2,36302,d
21,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-2,36302,e
21,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-2a,36302a,b
21,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-2a,36302a,c
21,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-2a,36302a,a
22,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-3,36302,d
22,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-3,36302,c
22,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-3a,36302a,a
22,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-3a,36302a,e
22,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-3a,36302a,b
23,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-4,36302,e
23,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-4,36302,d
23,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-4a,36302a,c
23,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-4a,36302a,b
23,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-4a,36302a,a
24,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-5,36302,c
24,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-5,36302,e
24,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-5a,36302a,b
24,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-5a,36302a,d
24,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-5a,36302a,a
25,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-7a,36302,e
25,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-7a,36302,b
25,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-7aa,36302a,c
25,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-7aa,36302a,a
25,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-7aa,36302a,d
26,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-8a,36302,d
26,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-8a,36302,a
26,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-8aa,36302a,c
26,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-8aa,36302a,e
26,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-8aa,36302a,b
27,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-1,36302,c
27,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-1,36302,b
27,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-1a,36302a,a
27,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-1a,36302a,d
27,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-1a,36302a,e
28,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-2,36302,d
28,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-2,36302,a
28,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-2a,36302a,c
28,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-2a,36302a,e
28,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-2a,36302a,b
29,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-3,36302,d
29,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-3,36302,c
29,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-3a,36302a,e
29,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-3a,36302a,b
29,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-3a,36302a,a
30,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-4,36302,d
30,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-4,36302,e
30,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-4a,36302a,b
30,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-4a,36302a,c
30,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-4a,36302a,a
31,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-2,36302,d
31,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-2,36302,a
31,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-2a,36302a,e
31,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-2a,36302a,c
31,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-2a,36302a,b
32,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-3b,36302,e
32,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-3b,36302,a
32,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-3ba,36302a,b
32,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-3ba,36302a,c
32,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-3ba,36302a,d
33,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-4,36302,b
33,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-4,36302,e
33,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-4a,36302a,d
33,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-4a,36302a,a
33,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-4a,36302a,c
34,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-5c,36302,b
34,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-5c,36302,c
34,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-5ca,36302a,e
34,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-5ca,36302a,a
34,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-5ca,36302a,d
35,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-6,36302,e
35,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-6,36302,b
35,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-6a,36302a,d
35,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-6a,36302a,a
35,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-6a,36302a,c
36,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-7,36302,d
36,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-7,36302,b
36,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-7a,36302a,e
36,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-7a,36302a,c
36,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-7a,36302a,a
