hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode,a
23,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-4,36302,a
24,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-5,36302,a
25,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-7a,36302,a
26,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_ami-8a,36302,a
27,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_hf-1,36302,a
28,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_hf-2,36302,a
29,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_hf-3,36302,a
30,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_hf-4,36302,a
31,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_pn-2,36302,a
32,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_pn-3b,36302,a
33,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_pn-4,36302,a
34,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_pn-5c,36302,a
35,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_pn-6,36302,a
36,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_pn-7,36302,a
37,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-card-2,36302,a
38,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-inf-1,36302,a
39,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-inf-2,36302,a
40,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-inf-3,36302,a
41,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-inf-4,36302,a
42,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-inf-6,36302,a
43,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-vte-1,36302,a
44,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001,al,al_scip-vte-2,36302,a
45,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-1,35957,a
46,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-2,35957,a
47,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-3,35957,a
48,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-4,35957,a
49,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-5,35957,a
50,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-7a,35957,a
51,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_ami-8a,35957,a
52,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_hf-1,35957,a
53,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_hf-2,35957,a
54,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_hf-3,35957,a
55,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_hf-4,35957,a
56,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_pn-2,35957,a
57,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_pn-3b,35957,a
58,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_pn-4,35957,a
59,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_pn-5c,35957,a
60,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_pn-6,35957,a
61,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_pn-7,35957,a
62,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-card-2,35957,a
63,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-inf-1,35957,a
64,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-inf-2,35957,a
65,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-inf-3,35957,a
66,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-inf-4,35957,a
67,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-inf-6,35957,a
68,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-vte-1,35957,a
69,2505 u s highway 431 north,boaz,marshall,marshall medical center south,government - hospital district or authority,acute care hospitals,2565938310,10005,al,al_scip-vte-2,35957,a
70,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-1,35631,a
71,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-2,35631,a
72,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-3,35631,a
73,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-4,35631,a
74,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-5,35631,a
75,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-7a,35631,a
76,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_ami-8a,35631,a
77,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_hf-1,35631,a
78,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_hf-2,35631,a
79,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_hf-3,35631,a
80,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_hf-4,35631,a
81,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_pn-2,35631,a
82,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_pn-3b,35631,a
83,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_pn-4,35631,a
84,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_pn-5c,35631,a
85,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_pn-6,35631,a
86,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_pn-7,35631,a
87,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-card-2,35631,a
88,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-inf-1,35631,a
89,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-inf-2,35631,a
90,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-inf-3,35631,a
91,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-inf-4,35631,a
92,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-inf-6,35631,a
93,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-vte-1,35631,a
94,205 marengo street,florence,lauderdale,eliza coffee memorial hospital,voluntary non-profit - other,acute care hospitals,2567688400,10006,al,al_scip-vte-2,35631,a
95,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-1,36467,a
96,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-2,36467,a
97,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-3,36467,a
98,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-4,36467,a
99,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-5,36467,a
100,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-7a,36467,a
101,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_ami-8a,36467,a
102,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_hf-1,36467,a
103,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_hf-2,36467,a
104,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_hf-3,36467,a
105,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_hf-4,36467,a
106,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_pn-2,36467,a
107,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_pn-3b,36467,a
108,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_pn-4,36467,a
109,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_pn-5c,36467,a
110,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_pn-6,36467,a
111,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_pn-7,36467,a
112,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-card-2,36467,a
113,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-inf-1,36467,a
114,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-inf-2,36467,a
115,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-inf-3,36467,a
116,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-inf-4,36467,a
117,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-inf-6,36467,a
118,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-vte-1,36467,a
119,702 n main st,opp,covington,mizell memorial hospital,voluntary non-profit - private,acute care hospitals,3344933541,10007,al,al_scip-vte-2,36467,a
120,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-1,36049,a
121,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-2,36049,a
122,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-3,36049,a
123,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-4,36049,a
124,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-5,36049,a
125,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-7a,36049,a
126,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_ami-8a,36049,a
127,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_hf-1,36049,a
128,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_hf-2,36049,a
129,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_hf-3,36049,a
130,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_hf-4,36049,a
131,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_pn-2,36049,a
132,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_pn-3b,36049,a
133,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_pn-4,36049,a
134,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_pn-5c,36049,a
135,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_pn-6,36049,a
136,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_pn-7,36049,a
137,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-card-2,36049,a
138,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-inf-1,36049,a
139,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-inf-2,36049,a
140,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-inf-3,36049,a
141,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-inf-4,36049,a
142,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-inf-6,36049,a
143,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-vte-1,36049,a
144,101 hospital circle,luverne,crenshaw,crenshaw community hospital,government - federal,acute care hospitals,3343353374,10008,al,al_scip-vte-2,36049,a
145,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-1,35640,a
146,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-2,35640,a
147,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-3,35640,a
148,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-4,35640,a
149,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-5,35640,a
150,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-7a,35640,a
151,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_ami-8a,35640,a
152,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_hf-1,35640,a
153,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_hf-2,35640,a
154,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_hf-3,35640,a
155,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_hf-4,35640,a
156,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_pn-2,35640,a
157,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_pn-3b,35640,a
158,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_pn-4,35640,a
159,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_pn-5c,35640,a
160,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_pn-6,35640,a
161,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_pn-7,35640,a
162,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-card-2,35640,a
163,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-inf-1,35640,a
164,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-inf-2,35640,a
165,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-inf-3,35640,a
166,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-inf-4,35640,a
167,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-inf-6,35640,a
168,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-vte-1,35640,a
169,201 pine street northwest,hartselle,morgan,hartselle medical center,proprietary,acute care hospitals,2567736511,10009,al,al_scip-vte-2,35640,a
170,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-1,35976,a
171,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-2,35976,a
172,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-3,35976,a
173,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-4,35976,a
174,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-5,35976,a
175,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-7a,35976,a
176,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_ami-8a,35976,a
177,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_hf-1,35976,a
178,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_hf-2,35976,a
179,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_hf-3,35976,a
180,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_hf-4,35976,a
181,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_pn-2,35976,a
182,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_pn-3b,35976,a
183,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_pn-4,35976,a
184,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_pn-5c,35976,a
185,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_pn-6,35976,a
186,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_pn-7,35976,a
187,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-card-2,35976,a
188,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-inf-1,35976,a
189,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-inf-2,35976,a
190,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-inf-3,35976,a
191,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-inf-4,35976,a
192,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-inf-6,35976,a
193,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-vte-1,35976,a
194,8000 alabama highway 69,guntersville,marshall,marshall medical center north,government - hospital district or authority,acute care hospitals,2565718000,10010,al,al_scip-vte-2,35976,a
195,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-1,35235,a
196,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-2,35235,a
197,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-3,35235,a
198,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-4,35235,a
199,50 medical park east drive,birmingham,jefferson,st vincents east,voluntary non-profit - private,acute care hospitals,2058383122,10011,al,al_ami-5,35235,a
