hospital_number,Address1,City,CountyName,HospitalName,HospitalOwner,HospitalType,PhoneNumber,ProviderNumber,State,Stateavg,ZipCode
21,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-2,36302
21,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-2a,36302a
21,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-2a,36302a
21,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-2a,36302a
22,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-3,36302
22,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-3,36302
22,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-3a,36302a
22,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-3a,36302a
22,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-3a,36302a
23,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-4,36302
23,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-4,36302
23,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-4a,36302a
23,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-4a,36302a
23,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-4a,36302a
24,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-5,36302
24,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-5,36302
24,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-5a,36302a
24,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-5a,36302a
24,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-5a,36302a
25,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-7a,36302
25,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-7a,36302
25,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-7aa,36302a
25,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-7aa,36302a
25,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-7aa,36302a
26,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-8a,36302
26,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_ami-8a,36302
26,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_ami-8aa,36302a
26,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-8aa,36302a
26,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_ami-8aa,36302a
27,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-1,36302
27,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-1,36302
27,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-1a,36302a
27,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-1a,36302a
27,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-1a,36302a
28,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-2,36302
28,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-2,36302
28,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-2a,36302a
28,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-2a,36302a
28,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-2a,36302a
29,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-3,36302
29,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-3,36302
29,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-3a,36302a
29,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-3a,36302a
29,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-3a,36302a
30,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-4,36302
30,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_hf-4,36302
30,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_hf-4a,36302a
30,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-4a,36302a
30,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_hf-4a,36302a
31,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-2,36302
31,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-2,36302
31,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-2a,36302a
31,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-2a,36302a
31,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-2a,36302a
32,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-3b,36302
32,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-3b,36302
32,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-3ba,36302a
32,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-3ba,36302a
32,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-3ba,36302a
33,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-4,36302
33,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-4,36302
33,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-4a,36302a
33,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-4a,36302a
33,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-4a,36302a
34,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-5c,36302
34,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-5c,36302
34,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-5ca,36302a
34,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-5ca,36302a
34,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-5ca,36302a
35,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-6,36302
35,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-6,36302
35,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-6a,36302a
35,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-6a,36302a
35,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-6a,36302a
36,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-7,36302
36,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_pn-7,36302
36,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_pn-7a,36302a
36,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-7a,36302a
36,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_pn-7a,36302a
37,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_scip-card-2,36302
37,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001,al,al_scip-card-2,36302
37,1108 ross clark circlea,dothana,houstona,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701a,10001a,ala,al_scip-card-2a,36302a
37,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_scip-card-2a,36302a
37,1108 ross clark circle,dothan,houston,southeast alabama medical center,government - hospital district or authority,acute care hospitals,3347938701,10001a,ala,al_scip-card-2a,36302a
