flight,scheduled_dept,actual_dept,dept_gate,scheduled_arrival,actual_arrival,arrival_gate
2011-12-01-UA-257-JFK-SFO,Thu- Dec 1 2:30 PM,Thu- Dec 1 2:26 PM,9,Thu- Dec 1 6:15 PM,Thu- Dec 1 5:42 PM,80
2011-12-01-UA-62-IAH-EWR,Thu- Dec 1 2:30 PM,Thu- Dec 1 2:48 PM,C-44,Thu- Dec 1 7:03 PM,Thu- Dec 1 7:10 PM,C94
2011-12-01-UA-843-LAX-ORD,Thu- Dec 1 1:55 PM,Thu- Dec 1 2:10 PM,73,Thu- Dec 1 7:53 PM,Thu- Dec 1 7:58 PM,C18
2011-12-01-UA-248-PHX-ORD,Thu- Dec 1 12:57 PM,Thu- Dec 1 12:57 PM            On Time,3,Thu- Dec 1 5:15 PM,Thu- Dec 1 4:59 PM,B14
2011-12-01-UA-397-JFK-SFO,Thu- Dec 1 8:00 AM,Thu- Dec 1 8:29 AM,12,Thu- Dec 1 11:55 AM,Thu- Dec 1 11:58 AM,83
2011-12-01-UA-2704-DTW-PHX,Thu- Dec 1 11:15 AM,Thu- Dec 1 11:15 AM,D14,Thu- Dec 1 1:40 PM,Thu- Dec 1 2:00 PM,A6
2011-12-01-UA-2515-DFW-CLT,Thu- Dec 1 7:05 AM,Thu- Dec 1 7:05 AM,E36,Thu- Dec 1 10:31 AM,Thu- Dec 1 10:47 AM,B10
2011-12-01-UA-3373-IAD-PHL,Thu- Dec 1 8:29 AM,Thu- Dec 1 8:26 AM,A5D,Thu- Dec 1 9:24 AM,Thu- Dec 1 9:13 AM,D7
2011-12-01-UA-2906-PHL-MCO,Thu- Dec 1 3:50 PM,Thu- Dec 1 4:28 PM            Delayed,B13,Thu- Dec 1 6:23 PM,Thu- Dec 1 6:38 PM,58
2011-12-01-UA-938-DEN-ORD,Thu- Dec 1 4:16 PM,Thu- Dec 1 4:15 PM,B36,Thu- Dec 1 7:35 PM,Thu- Dec 1 7:36 PM,C19
2011-12-01-UA-3099-PHX-PHL,Thu- Dec 1 11:55 AM,Thu- Dec 1 11:55 AM,B14,Thu- Dec 1 6:17 PM,Thu- Dec 1 5:38 PM,A12
2011-12-01-UA-3925-IAD-ORF,Thu- Dec 1 8:41 AM,Thu- Dec 1 8:42 AM,A2G,Thu- Dec 1 9:54 AM,Thu- Dec 1 9:43 AM,--
2011-12-01-UA-5487-SFO-MRY,Thu- Dec 1 10:39 AM,Thu- Dec 1 10:33 AM,87A,Thu- Dec 1 11:19 AM,Thu- Dec 1 11:21 AM,--
2011-12-01-UA-3050-PHX-CLT,Thu- Dec 1 11:05 AM,Thu- Dec 1 11:30 AM,A30,Thu- Dec 1 4:57 PM,Thu- Dec 1 5:05 PM,B5
2011-12-01-UA-828-SFO-ORD,Thu- Dec 1 11:08 PM,Thu- Dec 1 11:08 PM            On Time,75,Fri- Dec 2 5:11 AM,Fri- Dec 2 5:11 AM,C9
2011-12-01-UA-2830-MCO-CLT,Thu- Dec 1 3:27 PM,Thu- Dec 1 3:27 PM,58,Thu- Dec 1 5:05 PM,Thu- Dec 1 5:17 PM,C18
2011-12-01-UA-37-EWR-MCO,Thu- Dec 1 1:29 PM,Thu- Dec 1 1:48 PM            Delayed,C126,Thu- Dec 1 4:17 PM,Thu- Dec 1 4:17 PM,39
2011-12-01-UA-37-EDI-EWR,Thu- Dec 1 9:05 AM,Thu- Dec 1 8:52 AM,--,Thu- Dec 1 11:53 AM,Thu- Dec 1 12:09 PM,B65
2011-12-01-UA-2708-EWR-CLT,Thu- Dec 1 2:55 PM,Thu- Dec 1 2:55 PM,A37,Thu- Dec 1 4:53 PM,Thu- Dec 1 4:44 PM,C5
2011-12-01-UA-233-LAX-JFK,Thu- Dec 1 4:25 PM,Thu- Dec 1 4:25 PM,76,Fri- Dec 2 12:29 AM,Fri- Dec 2 12:29 AM,9
2011-12-01-UA-2726-FLL-PHL,Thu- Dec 1 4:00 PM,Thu- Dec 1 4:00 PM,E3,Thu- Dec 1 6:46 PM,Thu- Dec 1 6:28 PM,B5
2011-12-01-UA-2945-PHL-CLT,Thu- Dec 1 12:00 AM,Thu- Dec 1 3:11 AM,B9,Thu- Dec 1 1:45 PM,Thu- Dec 1 1:15 PM,B9
2011-12-01-UA-6273-YYC-SFO,Thu- Dec 1 7:35 AM,Thu- Dec 1 7:27 AM,--,Thu- Dec 1 9:43 AM,Thu- Dec 1 8:45 AM,78A
2011-12-01-UA-2314-ATL-PHL,Thu- Dec 1 2:55 PM,Thu- Dec 1 2:55 PM,D23,Thu- Dec 1 5:00 PM,Thu- Dec 1 4:47 PM,C27
2011-12-01-UA-382-IAD-LAX,Thu- Dec 1 12:30 PM,Thu- Dec 1 12:35 PM            Delayed,D1,Thu- Dec 1 3:19 PM,Thu- Dec 1 3:11 PM,75B
2011-12-01-UA-858-PVG-SFO,Thu- Dec 1 1:45 PM,Thu- Dec 1 1:32 PM,75,Thu- Dec 1 8:27 AM,Thu- Dec 1 8:02 AM,100
2011-12-01-UA-854-SFO-IAH,Thu- Dec 1 7:53 AM,Thu- Dec 1 7:49 AM,81,Thu- Dec 1 1:39 PM,Thu- Dec 1 1:30 PM,C16
2011-12-02-AA-1221-MCO-ORD,12/02/2011 08:00 PM,12/02/2011 08:07 PM,15,12/02/2011 09:50 PM,12/02/2011 09:37 PM,H11B
2011-12-02-AA-4307-ORD-DTW,12/02/2011 06:45 PM,12/02/2011 07:07 PM,G19A,12/02/2011 09:10 PM,12/02/2011 09:06 PM,D28
2011-12-02-AA-616-DFW-DTW,12/02/2011 09:05 AM,12/02/2011 09:14 AM,C14,12/02/2011 12:35 PM,12/02/2011 12:19 PM,D32
2011-12-02-AA-431-MIA-SFO,12/02/2011 08:35 AM,12/02/2011 08:52 AM,D40,12/02/2011 11:50 AM,12/02/2011 11:41 AM,56A
2011-12-02-AA-3756-ORD-SLC,12/02/2011 12:15 PM,12/02/2011 12:29 PM,H3A,12/02/2011 02:45 PM,12/02/2011 02:41 PM,A3
2011-12-02-AA-2050-ORD-MIA,12/02/2011 10:40 AM,12/02/2011 10:53 AM,H15,12/02/2011 02:45 PM,12/02/2011 02:26 PM,D1
2011-12-02-AA-3804-PHL-ORD,12/02/2011 02:35 PM,12/02/2011 02:42 PM,A7,12/02/2011 04:05 PM,12/02/2011 03:46 PM,G1B
2011-12-02-AA-1664-MIA-ATL,12/02/2011 10:15 AM,12/02/2011 10:39 AM,D36,12/02/2011 12:10 PM,12/02/2011 12:18 PM,T11
2011-12-02-AA-789-ORD-DEN,12/02/2011 01:05 PM,12/02/2011 01:19 PM,K9,12/02/2011 02:35 PM,12/02/2011 02:50 PM,A49
2011-12-02-AA-4277-CVG-JFK,12/02/2011 12:10 PM,12/02/2011 12:22 PM,1,12/02/2011 02:15 PM,12/02/2011 01:52 PM,31A
2011-12-02-AA-85-JFK-SFO,12/02/2011 03:05 PM,12/02/2011 03:41 PM,5,12/02/2011 06:30 PM,12/02/2011 07:00 PM,58B
2011-12-02-AA-404-MIA-MCO,12/02/2011 06:45 AM,12/02/2011 06:53 AM,E5,12/02/2011 07:45 AM,12/02/2011 07:35 AM,16
2011-12-02-AA-446-DFW-PHL,12/02/2011 11:50 AM,12/02/2011 11:59 AM,D31,12/02/2011 03:50 PM,12/02/2011 03:40 PM,A9
2011-12-02-AA-2268-PHX-ORD,12/02/2011 07:15 AM,12/02/2011 07:21 AM,6,12/02/2011 11:35 AM,12/02/2011 11:08 AM,H15
2011-12-02-AA-4344-ORD-DTW,12/02/2011 11:45 AM,12/02/2011 11:53 AM,G1A,12/02/2011 02:00 PM,12/02/2011 01:51 PM,D28
2011-12-02-AA-484-DFW-MIA,12/02/2011 04:15 PM,12/02/2011 04:59 PM,D23,12/02/2011 07:55 PM,12/02/2011 08:19 PM,D8
2011-12-02-AA-3979-CVG-ORD,12/02/2011 07:30 AM,12/02/2011 07:57 AM,1,12/02/2011 08:00 AM,12/02/2011 07:56 AM,G12
2011-12-02-AA-3859-IAH-ORD,12/02/2011 07:10 AM,12/02/2011 07:13 AM,A29,12/02/2011 09:40 AM,12/02/2011 09:37 AM,G7
2011-12-02-AA-3842-MSP-ORD,12/02/2011 06:00 AM,12/02/2011 06:25 AM,E14,12/02/2011 07:30 AM,12/02/2011 07:44 AM,H5
2011-12-02-AA-1544-SAN-ORD,12/02/2011 11:25 AM,12/02/2011 11:42 AM,27,12/02/2011 05:25 PM,12/02/2011 04:59 PM,H6
2011-12-02-AA-518-MIA-JFK,12/02/2011 06:30 AM,12/02/2011 06:54 AM,D3,12/02/2011 09:15 AM,12/02/2011 09:26 AM,5
2011-12-02-AA-2525-DFW-MIA,12/02/2011 07:25 AM,12/02/2011 07:48 AM,D25,12/02/2011 11:10 AM,12/02/2011 11:13 AM,D21
2011-12-02-AA-1279-DFW-PHX,12/02/2011 01:00 PM,12/02/2011 01:29 PM,C2,12/02/2011 02:35 PM,12/02/2011 02:51 PM,4
2011-12-02-AA-1434-DFW-MCO,12/02/2011 07:15 AM,12/02/2011 07:37 AM,C36,12/02/2011 10:35 AM,12/02/2011 10:51 AM,14
2011-12-02-AA-59-JFK-SFO,12/02/2011 07:10 AM,12/02/2011 07:47 AM,39,12/02/2011 10:45 AM,12/02/2011 10:33 AM,58B
2011-12-02-AA-415-BOS-ORD,12/02/2011 08:35 AM,12/02/2011 08:45 AM,B31,12/02/2011 10:40 AM,12/02/2011 10:28 AM,K7
2011-12-02-AA-222-LAX-BOS,12/02/2011 07:10 AM,12/02/2011 07:29 AM,48A,12/02/2011 03:30 PM,12/02/2011 03:16 PM,B33
2011-12-02-AA-1165-JFK-MIA,12/02/2011 06:59 AM,12/02/2011 07:36 AM,40,12/02/2011 10:34 AM,12/02/2011 10:15 AM,D11
2011-12-02-AA-3786-IAH-ORD,12/02/2011 04:00 PM,12/02/2011 04:17 PM,A29,12/02/2011 06:40 PM,12/02/2011 06:14 PM,G5
2011-12-02-AA-4330-CVG-ORD,12/02/2011 03:35 PM,12/02/2011 04:48 PM,5,12/02/2011 04:00 PM,12/02/2011 04:41 PM,G14
2011-12-02-AA-3468-CVG-MIA,12/02/2011 07:00 AM,12/02/2011 07:25 AM,5,12/02/2011 09:55 AM,12/02/2011 09:46 AM,D60
2011-12-02-AA-466-IAH-MIA,12/02/2011 06:00 AM,12/02/2011 06:15 AM,A27,12/02/2011 09:20 AM,12/02/2011 09:22 AM,D51
2011-12-02-AA-3-JFK-LAX,12/02/2011 12:00 PM,12/02/2011 12:14 PM,12,12/02/2011 03:15 PM,12/02/2011 03:08 PM,47B
2011-12-02-AA-1007-MIA-PHX,12/02/2011 04:55 PM,12/02/2011 05:28 PM,D44,12/02/2011 08:05 PM,12/02/2011 08:18 PM,6
2011-12-02-AA-271-MIA-LAX,12/02/2011 11:35 AM,12/02/2011 11:52 AM,D51,12/02/2011 02:25 PM,12/02/2011 02:08 PM,49A
2011-12-02-AA-643-MIA-ORD,12/02/2011 07:10 AM,12/02/2011 07:25 AM,D11,12/02/2011 09:35 AM,12/02/2011 09:23 AM,K13
2011-12-02-AA-4198-ORD-CLE,12/02/2011 10:40 AM,12/02/2011 10:51 AM,G12,12/02/2011 12:55 PM,12/02/2011 12:47 PM,A1
2011-12-02-AA-400-DFW-JFK,12/02/2011 10:40 AM,12/02/2011 11:01 AM,D16,12/02/2011 02:59 PM,12/02/2011 03:00 PM,44
2011-12-02-AA-1886-BOS-MIA,12/02/2011 10:45 AM,12/02/2011 10:55 AM,B33,12/02/2011 02:20 PM,12/02/2011 01:55 PM,D50
2011-12-02-AA-1917-JFK-MCO,12/02/2011 02:55 PM,12/02/2011 03:39 PM,1,12/02/2011 05:55 PM,12/02/2011 06:05 PM,16
2011-12-02-AA-3809-PHX-LAX,12/02/2011 06:00 AM,12/02/2011 06:07 AM,2,12/02/2011 06:40 AM,12/02/2011 06:16 AM,44I
2011-12-02-AA-2957-DFW-CVG,12/02/2011 07:55 AM,12/02/2011 08:07 AM,B16,12/02/2011 11:05 AM,12/02/2011 10:57 AM,3
2011-12-02-UA-1500-IAH-GUA,Fri- Dec 2 8:55 AM,Fri- Dec 2 9:39 AM            Delayed,E10,Fri- Dec 2 11:45 AM,Fri- Dec 2 12:28 PM,15
2011-12-02-UA-3515-IAD-MSP,Fri- Dec 2 8:15 AM,Fri- Dec 2 8:15 AM,D20,Fri- Dec 2 10:06 AM,Fri- Dec 2 10:08 AM,E6
2011-12-02-UA-664-ORD-PHL,Fri- Dec 2 1:33 PM,Fri- Dec 2 1:35 PM,C25,Fri- Dec 2 4:31 PM,Fri- Dec 2 4:34 PM,D13
2011-12-02-UA-414-LAX-SFO,Fri- Dec 2 6:00 AM,Fri- Dec 2 5:57 AM,75B,Fri- Dec 2 7:23 AM,Fri- Dec 2 7:12 AM,88
2011-12-02-UA-257-JFK-SFO,Fri- Dec 2 2:30 PM,Fri- Dec 2 2:27 PM,9,Fri- Dec 2 6:15 PM,Fri- Dec 2 5:46 PM,92
2011-12-02-UA-62-IAH-EWR,Fri- Dec 2 2:30 PM,Fri- Dec 2 2:50 PM,C-39,Fri- Dec 2 7:03 PM,Fri- Dec 2 7:08 PM,C83
2011-12-02-UA-843-LAX-ORD,Fri- Dec 2 1:55 PM,Fri- Dec 2 1:54 PM,73,Fri- Dec 2 7:53 PM,Fri- Dec 2 7:22 PM,C23
2011-12-02-UA-248-PHX-ORD,Fri- Dec 2 12:57 PM,Fri- Dec 2 12:57 PM            On Time,3,Fri- Dec 2 5:15 PM,Fri- Dec 2 5:02 PM,C17
2011-12-02-UA-397-JFK-SFO,Fri- Dec 2 8:00 AM,Fri- Dec 2 7:54 AM,12,Fri- Dec 2 11:55 AM,Fri- Dec 2 10:55 AM,84
2011-12-02-UA-2704-DTW-PHX,Fri- Dec 2 11:15 AM,Fri- Dec 2 11:15 AM,D14,Fri- Dec 2 1:40 PM,Fri- Dec 2 1:40 PM,A6
2011-12-02-UA-2515-DFW-CLT,Fri- Dec 2 7:05 AM,Fri- Dec 2 7:05 AM,E36,Fri- Dec 2 10:31 AM,Fri- Dec 2 10:43 AM,B10
2011-12-02-UA-3373-IAD-PHL,Fri- Dec 2 8:29 AM,Fri- Dec 2 8:25 AM,A5D,Fri- Dec 2 9:24 AM,Fri- Dec 2 9:08 AM,D7
2011-12-02-UA-2906-PHL-MCO,Fri- Dec 2 3:50 PM,Fri- Dec 2 3:50 PM            Delayed,B13,Fri- Dec 2 6:23 PM,Fri- Dec 2 6:18 PM,58
2011-12-02-UA-938-DEN-ORD,Fri- Dec 2 4:16 PM,Fri- Dec 2 4:16 PM,B32,Fri- Dec 2 7:35 PM,Fri- Dec 2 7:17 PM,C26
2011-12-02-UA-3099-PHX-PHL,Fri- Dec 2 11:55 AM,Fri- Dec 2 12:05 PM,B13,Fri- Dec 2 6:17 PM,Fri- Dec 2 5:53 PM,A10
2011-12-02-UA-3925-IAD-ORF,Fri- Dec 2 8:41 AM,Fri- Dec 2 8:36 AM,A2A,Fri- Dec 2 9:54 AM,Fri- Dec 2 9:42 AM,--
2011-12-02-UA-5487-SFO-MRY,Fri- Dec 2 10:39 AM,Fri- Dec 2 10:31 AM,87A,Fri- Dec 2 11:19 AM,Fri- Dec 2 11:17 AM,--
2011-12-02-UA-3050-PHX-CLT,Fri- Dec 2 11:05 AM,Fri- Dec 2 11:05 AM,A11,Fri- Dec 2 4:57 PM,Fri- Dec 2 4:44 PM,B5
2011-12-02-UA-828-SFO-ORD,Fri- Dec 2 11:08 PM,Fri- Dec 2 11:08 PM            On Time,74,Sat- Dec 3 5:11 AM,Sat- Dec 3 5:11 AM,B11
2011-12-02-UA-2830-MCO-CLT,Fri- Dec 2 3:27 PM,Fri- Dec 2 3:27 PM,57,Fri- Dec 2 5:05 PM,Fri- Dec 2 4:59 PM,C12
2011-12-02-UA-37-EWR-MCO,Fri- Dec 2 1:29 PM,Fri- Dec 2 1:42 PM            Delayed,C73,Fri- Dec 2 4:17 PM,Fri- Dec 2 4:20 PM,39
2011-12-02-UA-37-EDI-EWR,Fri- Dec 2 9:05 AM,Fri- Dec 2 11:29 AM,--,Fri- Dec 2 11:53 AM,Fri- Dec 2 2:56 PM,B56
2011-12-02-UA-2708-EWR-CLT,Fri- Dec 2 2:55 PM,Fri- Dec 2 2:55 PM,A37,Fri- Dec 2 4:53 PM,Fri- Dec 2 4:32 PM,C15
2011-12-02-UA-233-LAX-JFK,Fri- Dec 2 4:25 PM,Fri- Dec 2 4:25 PM,76,Sat- Dec 3 12:29 AM,Sat- Dec 3 12:29 AM,9
2011-12-02-UA-2726-FLL-PHL,Fri- Dec 2 4:00 PM,Fri- Dec 2 4:00 PM,E3,Fri- Dec 2 6:46 PM,Fri- Dec 2 6:30 PM,B6
2011-12-02-UA-2945-PHL-CLT,Fri- Dec 2 12:00 AM,Fri- Dec 2 5:11 AM,B9,Fri- Dec 2 1:45 PM,Fri- Dec 2 1:26 PM,C8
2011-12-02-UA-6273-YYC-SFO,Fri- Dec 2 7:35 AM,Fri- Dec 2 7:30 AM,--,Fri- Dec 2 9:43 AM,Fri- Dec 2 8:59 AM,76B
2011-12-02-UA-2314-ATL-PHL,Fri- Dec 2 2:55 PM,Fri- Dec 2 2:55 PM,D23,Fri- Dec 2 5:00 PM,Fri- Dec 2 4:56 PM,A12
2011-12-02-UA-382-IAD-LAX,Fri- Dec 2 12:40 PM,Fri- Dec 2 12:41 PM            Delayed,C17,Fri- Dec 2 3:29 PM,Fri- Dec 2 3:20 PM,75B
2011-12-02-UA-858-PVG-SFO,Fri- Dec 2 1:45 PM,Fri- Dec 2 1:35 PM,75,Fri- Dec 2 8:27 AM,Fri- Dec 2 8:06 AM,97
2011-12-02-UA-854-SFO-IAH,Fri- Dec 2 7:53 AM,Fri- Dec 2 7:50 AM,86,Fri- Dec 2 1:39 PM,Fri- Dec 2 1:32 PM,C16
2011-12-03-AA-1221-MCO-ORD,12/03/2011 08:00 PM,12/03/2011 08:09 PM,15,12/03/2011 09:50 PM,12/03/2011 09:38 PM,L8
2011-12-03-AA-518-MIA-JFK,12/03/2011 06:30 AM,12/03/2011 06:42 AM,D16,12/03/2011 09:15 AM,12/03/2011 09:11 AM,12
2011-12-03-AA-4307-ORD-DTW,12/03/2011 08:05 PM,12/03/2011 08:22 PM,G7,12/03/2011 10:20 PM,12/03/2011 10:10 PM,D19
2011-12-03-AA-2525-DFW-MIA,12/03/2011 07:25 AM,12/03/2011 08:03 AM,D25,12/03/2011 11:10 AM,12/03/2011 11:28 AM,D3
2011-12-03-AA-616-DFW-DTW,12/03/2011 09:05 AM,12/03/2011 09:18 AM,C33,12/03/2011 12:35 PM,12/03/2011 12:31 PM,D32
2011-12-03-AA-431-MIA-SFO,12/03/2011 08:35 AM,12/03/2011 08:43 AM,D40,12/03/2011 11:50 AM,12/03/2011 11:19 AM,57
2011-12-03-AA-3756-ORD-SLC,12/03/2011 12:15 PM,12/03/2011 12:22 PM,G3,12/03/2011 02:45 PM,12/03/2011 02:22 PM,A3
2011-12-03-AA-2050-ORD-MIA,12/03/2011 10:40 AM,12/03/2011 11:24 AM,K9,12/03/2011 02:45 PM,12/03/2011 03:12 PM,D2
2011-12-03-AA-3804-PHL-ORD,12/03/2011 02:35 PM,12/03/2011 02:36 PM,A7,12/03/2011 04:05 PM,12/03/2011 03:25 PM,G1B
2011-12-03-AA-1434-DFW-MCO,12/03/2011 07:15 AM,12/03/2011 07:26 AM,C15,12/03/2011 10:35 AM,12/03/2011 10:39 AM,14
2011-12-03-AA-59-JFK-SFO,12/03/2011 07:10 AM,12/03/2011 07:31 AM,10,12/03/2011 10:45 AM,12/03/2011 10:24 AM,58B
2011-12-03-AA-415-BOS-ORD,12/03/2011 08:35 AM,12/03/2011 08:48 AM,B36,12/03/2011 10:40 AM,12/03/2011 10:13 AM,K5
2011-12-03-AA-222-LAX-BOS,12/03/2011 07:10 AM,12/03/2011 07:21 AM,42B,12/03/2011 03:30 PM,12/03/2011 03:13 PM,B35
