src,timeland,conditions,dewpoint,humidity,temperature,visibility,windspeed
weather.cnn.com,chicago--Wed Feb 3 04:30:00 2010,Cloudy ,,83,30,,7
www.nytimes.com,chicago--Wed Feb 3 04:30:00 2010,Light Snow,,77,28 -2 ,5,10
www.climaton.com,chicago--Wed Feb 3 04:30:00 2010,light snow,25 -4,80,30 -1,5,13
www.accuweather.com,newyork--Mon Feb 1 16:20:00 2010,Sunny ,10,46,28,10,14
www.climaton.com,newyork--Mon Feb 1 16:20:00 2010,clear sky,12-Oct,50,27 -3,10,7
www.nytimes.com,newyork--Mon Feb 1 16:20:00 2010,Sunny,,46,28 -2 ,10,14
www.accuweather.com,sandiego--Mon Feb 1 03:10:00 2010,Mostly Clear ,49,74,57,10,3
weather.cnn.com,sandiego--Mon Feb 1 03:10:00 2010, Intermittent Clouds ,,71,58,,7
www.nytimes.com,sandiego--Mon Feb 1 03:10:00 2010,Mostly Sunny,,74,56 13 ,10,7
www.climaton.com,sandiego--Mon Feb 1 03:10:00 2010,clear sky,50 10,72,59 15,10,8
igoogle.wunderground.com,oklahomacity--Tue Feb 2 18:15:00 2010,Overcast,24,49,41.4,7,1
www.weatherforyou.com,oklahomacity--Tue Feb 2 18:15:00 2010, Overcast,30,81, 36 2 ,7,
weather.herald.com,oklahomacity--Tue Feb 2 18:15:00 2010, Overcast,30,85,34,7,4
www2.foxnews.com,oklahomacity--Tue Feb 2 18:15:00 2010,Cloudy ,29,82,34,7,0
igoogle.wunderground.com,columbus--Sun Jan 31 23:25:00 2010,Clear,15,56,28.8,10,1
www.weatherforyou.com,columbus--Sun Jan 31 23:25:00 2010, Clear,9,40, 30 -1 ,10,16
igoogle.wunderground.com,portland--Mon Feb 1 06:00:00 2010,Scattered Clouds,41,92,43.3,10,Calm
www.nytimes.com,portland--Mon Feb 1 06:00:00 2010,Partly Cloudy,,91,42 6 ,10,6
weather.herald.com,portland--Mon Feb 1 06:00:00 2010, Scattered Clouds,41,96,42,10,6
igoogle.wunderground.com,portland--Sat Jan 30 18:35:00 2010,Light Rain,37,92,39.2,10,2
www.weatherforyou.com,portland--Sat Jan 30 18:35:00 2010, Light Rain,37,78, 44 6 ,,
weather.herald.com,portland--Sat Jan 30 18:35:00 2010, Light Rain,38,85,42,10,8
www2.foxnews.com,portland--Sat Jan 30 18:35:00 2010,Cloudy ,38,85,42,10,6
www.weatherforyou.com,charlotte--Thu Jan 28 17:10:00 2010, Mostly Cloudy,34,63, 46 8 ,,
www2.foxnews.com,charlotte--Thu Jan 28 17:10:00 2010,Mostly Cloudy ,30,68,40,10,0
weather.msn.com,chicago--Sat Jan 30 17:10:00 2010,Mostly Cloudy,9,58,21,10,11
weather.cnn.com,chicago--Sat Jan 30 17:10:00 2010,Flurries ,,67,20,,7
www2.foxnews.com,chicago--Sat Jan 30 17:10:00 2010,Mostly Cloudy ,8,53,20,10,12
igoogle.wunderground.com,losangeles--Wed Feb 3 22:30:00 2010,Clear,44,43,67.6,10,6
weather.herald.com,losangeles--Wed Feb 3 22:30:00 2010, Clear,44,40,69,10,5
www.accuweather.com,fortworth--Fri Jan 29 17:25:00 2010,Rain ,30,88,33,10,20
www.climaton.com,fortworth--Fri Jan 29 17:25:00 2010,moderate rain,32 0,87,36 2,7,15-23
www.climaton.com,fortworth--Mon Feb 1 10:30:00 2010,clear sky,27 -3,86,30 -1,6,0
www.nytimes.com,fortworth--Mon Feb 1 10:30:00 2010,Cloudy,,88,30 -1 ,4,0
igoogle.wunderground.com,elpaso--Wed Feb 3 13:25:00 2010,Light Rain,40,81,45.3,10,9.2
www.weatherforyou.com,elpaso--Wed Feb 3 13:25:00 2010, Light Rain,39,87, 43 6 ,10,14
weather.herald.com,elpaso--Wed Feb 3 13:25:00 2010, Light Rain,39,86,43,10,14
www2.foxnews.com,elpaso--Wed Feb 3 13:25:00 2010,Rain ,39,82,44,10,15
igoogle.wunderground.com,austin--Sun Jan 31 23:25:00 2010,Haze,28,69,37.4,6,Calm
weather.cnn.com,austin--Sun Jan 31 23:25:00 2010,Cloudy ,,81,35,,0
www.weatherforyou.com,austin--Sun Jan 31 23:25:00 2010, Hazy,27,68, 35 2 ,,
www2.foxnews.com,austin--Sun Jan 31 23:25:00 2010,Cloudy ,30,82,35,7,0
www.accuweather.com,houston--Wed Feb 3 11:20:00 2010,Cloudy ,45,82,50,9,9
weather.msn.com,houston--Wed Feb 3 11:20:00 2010,Clear,45,81,50,9,10
weather.cnn.com,houston--Wed Feb 3 11:20:00 2010, Intermittent Clouds ,,76,52,,10
www.climaton.com,houston--Wed Feb 3 11:20:00 2010,mostly cloudy,45 7,76,52 11,10,10
www.accuweather.com,sanfrancisco--Sun Jan 31 18:20:00 2010,Cloudy ,46,86,50,10,5
www.climaton.com,sanfrancisco--Sun Jan 31 18:20:00 2010,mostly cloudy,46 8,93,48 9,10,0
www2.foxnews.com,sanfrancisco--Sun Jan 31 18:20:00 2010,Cloudy ,46,90,49,10,0
igoogle.wunderground.com,austin--Sun Jan 31 09:25:00 2010,Overcast,28,79,33.4,8,Calm
www.weatherforyou.com,austin--Sun Jan 31 09:25:00 2010, Overcast,27,84, 30 -1 ,,4
weather.herald.com,austin--Sun Jan 31 09:25:00 2010, Overcast,28,85,32,8,5
www.accuweather.com,charlotte--Tue Feb 2 10:00:00 2010,Cloudy ,27,69,36,10,5
weather.msn.com,charlotte--Tue Feb 2 10:00:00 2010,Weather WarningsCloudy,27,69,36,10,5
weather.cnn.com,charlotte--Tue Feb 2 10:00:00 2010,Cloudy ,,69,36,,5
www.climaton.com,charlotte--Tue Feb 2 10:00:00 2010,light rain,25 -4,64,36 2,10,7
www2.foxnews.com,charlotte--Tue Feb 2 10:00:00 2010,Cloudy ,27,70,36,10,3
www.accuweather.com,oklahomacity--Thu Feb 4 00:15:00 2010,Cloudy ,32,81,37,6,8
weather.msn.com,oklahomacity--Thu Feb 4 00:15:00 2010,Short term forecastHaze,32,81,37,6,8
weather.cnn.com,oklahomacity--Thu Feb 4 00:15:00 2010,Cloudy ,,81,37,,10
www.nytimes.com,oklahomacity--Thu Feb 4 00:15:00 2010,Cloudy,,81,37 3 ,6,8
www.climaton.com,oklahomacity--Thu Feb 4 00:15:00 2010,clear sky,34 1,87,37 3,9,7
www.accuweather.com,sandiego--Mon Feb 1 00:15:00 2010,Partly Sunny ,49,66,60,10,10
www.climaton.com,sandiego--Mon Feb 1 00:15:00 2010,clear sky,48 9,63,61 16,9,10
www.nytimes.com,sandiego--Mon Feb 1 00:15:00 2010,Partly Sunny,,66,60 16 ,10,5
igoogle.wunderground.com,washington--Sun Jan 31 02:45:00 2010,Light Snow,15,88,17.5,3,8
www.weatherforyou.com,washington--Sun Jan 31 02:45:00 2010, Snow,12,73, 19 -7 ,3,13
weather.herald.com,washington--Sun Jan 31 02:45:00 2010, Light Snow,12,74,19,3,13
www2.foxnews.com,washington--Sun Jan 31 02:45:00 2010,Snow Shower,10,68,18,4,18
igoogle.wunderground.com,fortworth--Tue Feb 2 00:25:00 2010,Overcast,39,81,44.5,9,1
www.weatherforyou.com,fortworth--Tue Feb 2 00:25:00 2010, Overcast,36,71, 45 7 ,8,9
weather.herald.com,fortworth--Tue Feb 2 00:25:00 2010, Overcast,36,76,43,9,4
www2.foxnews.com,fortworth--Tue Feb 2 00:25:00 2010,Cloudy ,36,76,43,9,7
www.accuweather.com,sandiego--Sat Jan 30 15:45:00 2010,Mostly Cloudy ,46,89,49,4,0
weather.msn.com,sandiego--Sat Jan 30 15:45:00 2010,High Surf AdvisoryFog,46,87,50,4,0
www.climaton.com,sandiego--Sat Jan 30 15:45:00 2010,mostly cloudy,46 8,82,52 11,4,3
www.nytimes.com,sandiego--Sat Jan 30 15:45:00 2010,Light Fog,,89,47 8 ,3,0
www.accuweather.com,washington--Thu Feb 4 11:55:00 2010,Clear ,18,56,32,10,10
weather.msn.com,washington--Thu Feb 4 11:55:00 2010,Winter storm watchClear,18,55,32,10,10
weather.cnn.com,washington--Thu Feb 4 11:55:00 2010, Clear ,,56,32,,10
www.climaton.com,washington--Thu Feb 4 11:55:00 2010,clear sky,18 -8,55,32 0,10,10
weather.msn.com,newyork--Tue Feb 2 19:55:00 2010,Cloudy,9,34,34,10,7
www.climaton.com,newyork--Tue Feb 2 19:55:00 2010,mostly cloudy,13-Sep,34,34 1,10,7
igoogle.wunderground.com,boston--Sun Jan 31 13:45:00 2010,Scattered Clouds,-8,40,12,10,8
weather.herald.com,boston--Sun Jan 31 13:45:00 2010, Scattered Clouds,-8,39,13,10,12
www.accuweather.com,lasvegas--Tue Feb 2 03:25:00 2010,Mostly Cloudy ,29,38,54,10,0
weather.msn.com,lasvegas--Tue Feb 2 03:25:00 2010,Clear,30,40,54,10,3
weather.cnn.com,lasvegas--Tue Feb 2 03:25:00 2010, Intermittent Clouds ,,32,56,,3
www.climaton.com,lasvegas--Tue Feb 2 03:25:00 2010,mostly cloudy,27 -3,33,55 13,10,3
www2.foxnews.com,lasvegas--Tue Feb 2 03:25:00 2010,Mostly Sunny ,28,38,53,10,6
igoogle.wunderground.com,newyork--Wed Feb 3 08:15:00 2010,Light Snow Mist,14,49,30.7,2,Calm
weather.msn.com,newyork--Wed Feb 3 08:15:00 2010,Special weather statementSnow,27,93,28,2,5
weather.cnn.com,newyork--Wed Feb 3 08:15:00 2010,Flurries ,,92,28,,5
www.weatherforyou.com,newyork--Wed Feb 3 08:15:00 2010, Snow,27,93, 28 -2 ,2,5
www.accuweather.com,fortworth--Tue Feb 2 23:50:00 2010,Sunny ,35,56,50,10,8
weather.msn.com,fortworth--Tue Feb 2 23:50:00 2010,Clear,36,57,50,10,8
weather.cnn.com,fortworth--Tue Feb 2 23:50:00 2010, Sunny ,,56,50,,8
www.climaton.com,fortworth--Tue Feb 2 23:50:00 2010,clear sky,36 2,58,50 10,10,8
www.accuweather.com,milwaukee--Sun Jan 31 13:55:00 2010,Mostly Cloudy ,6,70,14,9,7
www.climaton.com,milwaukee--Sun Jan 31 13:55:00 2010,mostly cloudy,14-Jul,72,14 -10,9,7
www.nytimes.com,milwaukee--Sun Jan 31 13:55:00 2010,Mostly Cloudy,,71,14 -10 ,9,7
www.accuweather.com,memphis--Fri Jan 29 14:00:00 2010,Light Rain ,21,63,32,10,15
www.climaton.com,memphis--Fri Jan 29 14:00:00 2010,mostly cloudy,21 -6,64,32 0,10,13
weather.msn.com,newyork--Wed Feb 3 14:15:00 2010,Special weather statementFog,27,86,30,6,0
weather.cnn.com,newyork--Wed Feb 3 14:15:00 2010,Cloudy ,,88,30,,0
www.weatherforyou.com,newyork--Wed Feb 3 14:15:00 2010, Mist,27,86, 30 -1 ,6,
www.climaton.com,newyork--Wed Feb 3 14:15:00 2010,mostly cloudy,27 -3,86,30 -1,6,0
www.accuweather.com,oklahomacity--Mon Feb 1 05:25:00 2010,Foggy ,28,100,28,1,5
www.nytimes.com,oklahomacity--Mon Feb 1 05:25:00 2010,Foggy,,100,28 -2 ,1,5
igoogle.wunderground.com,portland--Mon Feb 1 11:50:00 2010,Overcast,36,90,38.9,0.5,1
www.weatherforyou.com,portland--Mon Feb 1 11:50:00 2010, Mist,35,80, 41 5 ,,
www2.foxnews.com,portland--Mon Feb 1 11:50:00 2010,Partly Cloudy,38,96,39,10,0
weather.msn.com,detroit--Mon Feb 1 20:45:00 2010,Mostly Sunny,12,54,27,10,8
weather.cnn.com,detroit--Mon Feb 1 20:45:00 2010, Partly Sunny ,,53,27,,8
www.climaton.com,detroit--Mon Feb 1 20:45:00 2010,clear sky,11-Dec,54,27 -3,10,8
www2.foxnews.com,detroit--Mon Feb 1 20:45:00 2010,Cloudy ,11,45,26,10,7
www.accuweather.com,fortworth--Tue Feb 2 17:35:00 2010,Cloudy ,34,72,42,10,12
weather.msn.com,fortworth--Tue Feb 2 17:35:00 2010,Cloudy,34,70,43,10,11
weather.cnn.com,fortworth--Tue Feb 2 17:35:00 2010,Cloudy ,,79,41,,8
www.climaton.com,fortworth--Tue Feb 2 17:35:00 2010,mostly cloudy,36 2,81,41 5,10,8
www.accuweather.com,losangeles--Mon Feb 1 03:10:00 2010,Clear ,49,69,59,10,0
weather.cnn.com,losangeles--Mon Feb 1 03:10:00 2010, Sunny ,,64,60,,3
www.nytimes.com,losangeles--Mon Feb 1 03:10:00 2010,Mostly Sunny,,57,60 16 ,10,6
www.climaton.com,losangeles--Mon Feb 1 03:10:00 2010,clear sky,46 8,55,63 17,9,0
igoogle.wunderground.com,oklahomacity--Wed Feb 3 08:15:00 2010,Overcast,26,76,32.4,0.5,3
weather.msn.com,oklahomacity--Wed Feb 3 08:15:00 2010,Freezing Fog AdvisoryFog,28,93,30,0,7
weather.cnn.com,oklahomacity--Wed Feb 3 08:15:00 2010,Fog ,,92,30,,3
www.weatherforyou.com,oklahomacity--Wed Feb 3 08:15:00 2010, Mist,34,92, 36 2 ,,
www2.foxnews.com,oklahomacity--Wed Feb 3 08:15:00 2010,Foggy ,28,90,30,0.25,3
igoogle.wunderground.com,phoenix--Sat Jan 30 20:45:00 2010,Mostly Cloudy,39,38,65.5,10,Calm
www.weatherforyou.com,phoenix--Sat Jan 30 20:45:00 2010, Clear,38,39, 64 18 ,,2
weather.herald.com,phoenix--Sat Jan 30 20:45:00 2010, Mostly Cloudy,36,38,62,10,7
www.accuweather.com,charlotte--Thu Feb 4 13:25:00 2010,Cloudy ,24,66,34,10,8
www.climaton.com,charlotte--Thu Feb 4 13:25:00 2010,clear sky,27 -3,80,32 0,10,7
www.nytimes.com,charlotte--Thu Feb 4 13:25:00 2010,Cloudy,,66,34 1 ,10,8
www.accuweather.com,denver--Sat Jan 30 20:50:00 2010,Mostly Sunny ,9,32,36,60,6
weather.msn.com,denver--Sat Jan 30 20:50:00 2010,Mostly Cloudy,12,25,46,Unlimited,0
weather.cnn.com,denver--Sat Jan 30 20:50:00 2010, Partly Sunny ,,29,46,,3
www.climaton.com,denver--Sat Jan 30 20:50:00 2010,clear sky,12-Oct,23,46 8,10,5
igoogle.wunderground.com,sanfrancisco--Sun Jan 31 11:35:00 2010,Scattered Clouds,43,86,46.9,10,Calm
weather.herald.com,sanfrancisco--Sun Jan 31 11:35:00 2010, Scattered Clouds,47,93,49,10,4
igoogle.wunderground.com,milwaukee--Mon Feb 1 07:30:00 2010,Scattered Clouds,4,63,14.6,10,Calm
weather.herald.com,milwaukee--Mon Feb 1 07:30:00 2010, Scattered Clouds,4,61,15,10,9
weather.cnn.com,nashville--Wed Feb 3 16:30:00 2010,Cloudy ,,62,38,,5
www.weatherforyou.com,nashville--Wed Feb 3 16:30:00 2010, Overcast,27,65, 37 3 ,10,5
www2.foxnews.com,nashville--Wed Feb 3 16:30:00 2010,Cloudy ,26,65,37,10,0
www.accuweather.com,oklahomacity--Fri Jan 29 18:10:00 2010,Snow And Fog ,20,84,24,1,14
weather.msn.com,oklahomacity--Fri Jan 29 18:10:00 2010,Winter Weather AdvisorySnow,19,80,25,1,13
www.climaton.com,oklahomacity--Fri Jan 29 18:10:00 2010,light snow,19 -7,86,23 -5,1.7,13
www2.foxnews.com,oklahomacity--Fri Jan 29 18:10:00 2010,Snow Shower ,20,81,24,1,17
weather.msn.com,columbus--Sat Jan 30 12:45:00 2010,Mostly Cloudy,3,57,16,10,9
weather.cnn.com,columbus--Sat Jan 30 12:45:00 2010,Cloudy ,,61,15,,15
www.weatherforyou.com,columbus--Sat Jan 30 12:45:00 2010, Mostly Cloudy,3,57, 16 -9 ,10,9
www.climaton.com,columbus--Sat Jan 30 12:45:00 2010,mostly cloudy,16-Mar,57,16 -9,10,15
www.accuweather.com,sanantonio--Sat Jan 30 07:50:00 2010,Clear ,26,72,34,10,7
weather.msn.com,sanantonio--Sat Jan 30 07:50:00 2010,Clear,27,69,36,10,14
weather.cnn.com,sanantonio--Sat Jan 30 07:50:00 2010, Clear ,,72,34,,7
www.climaton.com,sanantonio--Sat Jan 30 07:50:00 2010,clear sky,27 -3,75,34 1,10,7
