tid,attribute,correct_val
phoenix--sun jan 31 06:30:00 2010,humidity,71
phoenix--sun jan 31 06:30:00 2010,windspeed,calm
phoenix--sun jan 31 06:30:00 2010,conditions,mostly clear
chicago--mon feb 1 00:15:00 2010,temperature,28 -2
chicago--mon feb 1 00:15:00 2010,dewpoint,11-dec
chicago--mon feb 1 00:15:00 2010,visibility,10
chicago--mon feb 1 00:15:00 2010,humidity,52
chicago--mon feb 1 00:15:00 2010,windspeed,15
chicago--mon feb 1 00:15:00 2010,conditions,mostly cloudy
boston--mon feb 1 15:35:00 2010,temperature,27
boston--mon feb 1 15:35:00 2010,dewpoint,9
boston--mon feb 1 15:35:00 2010,visibility,10
boston--mon feb 1 15:35:00 2010,humidity,46
boston--mon feb 1 15:35:00 2010,windspeed,17
boston--mon feb 1 15:35:00 2010,conditions,sunny
losangeles--sat jan 30 17:10:00 2010,temperature,48
losangeles--sat jan 30 17:10:00 2010,dewpoint,45
losangeles--sat jan 30 17:10:00 2010,visibility,5
losangeles--sat jan 30 17:10:00 2010,humidity,89
losangeles--sat jan 30 17:10:00 2010,windspeed,0
losangeles--sat jan 30 17:10:00 2010,conditions,high surf advisoryhaze
newyork--sat jan 30 04:10:00 2010,temperature,19 -7
newyork--sat jan 30 04:10:00 2010,dewpoint,17-jan
newyork--sat jan 30 04:10:00 2010,visibility,10
newyork--sat jan 30 04:10:00 2010,humidity,45
newyork--sat jan 30 04:10:00 2010,windspeed,5
newyork--sat jan 30 04:10:00 2010,conditions,clear
elpaso--wed feb 3 03:00:00 2010,temperature,57 14
elpaso--wed feb 3 03:00:00 2010,dewpoint,34
elpaso--wed feb 3 03:00:00 2010,visibility,10
elpaso--wed feb 3 03:00:00 2010,humidity,41
elpaso--wed feb 3 03:00:00 2010,windspeed,10
elpaso--wed feb 3 03:00:00 2010,conditions,cloudy
baltimore--wed feb 3 05:15:00 2010,temperature,31
baltimore--wed feb 3 05:15:00 2010,dewpoint,30
baltimore--wed feb 3 05:15:00 2010,visibility,1
baltimore--wed feb 3 05:15:00 2010,humidity,96
baltimore--wed feb 3 05:15:00 2010,windspeed,3
baltimore--wed feb 3 05:15:00 2010,conditions,normal
portland--tue feb 2 19:50:00 2010,temperature,43 6
portland--tue feb 2 19:50:00 2010,dewpoint,39
portland--tue feb 2 19:50:00 2010,visibility,10
portland--tue feb 2 19:50:00 2010,humidity,97
portland--tue feb 2 19:50:00 2010,windspeed,5
portland--tue feb 2 19:50:00 2010,conditions,mostly cloudy
sanantonio--sat jan 30 20:00:00 2010,temperature,48
sanantonio--sat jan 30 20:00:00 2010,dewpoint,30
sanantonio--sat jan 30 20:00:00 2010,visibility,10
sanantonio--sat jan 30 20:00:00 2010,humidity,49
sanantonio--sat jan 30 20:00:00 2010,windspeed,12
sanantonio--sat jan 30 20:00:00 2010,conditions,partly cloudy
houston--wed feb 3 01:15:00 2010,temperature,55 13
houston--wed feb 3 01:15:00 2010,dewpoint,49
houston--wed feb 3 01:15:00 2010,visibility,10
houston--wed feb 3 01:15:00 2010,humidity,86
houston--wed feb 3 01:15:00 2010,windspeed,7
houston--wed feb 3 01:15:00 2010,conditions,overcast
sandiego--fri jan 29 14:15:00 2010,temperature,50 10
sandiego--fri jan 29 14:15:00 2010,dewpoint,46
sandiego--fri jan 29 14:15:00 2010,visibility,9
sandiego--fri jan 29 14:15:00 2010,humidity,87
sandiego--fri jan 29 14:15:00 2010,windspeed,calm
sandiego--fri jan 29 14:15:00 2010,conditions,mostly cloudy
memphis--mon feb 1 21:30:00 2010,temperature,46
memphis--mon feb 1 21:30:00 2010,dewpoint,28
memphis--mon feb 1 21:30:00 2010,visibility,10
memphis--mon feb 1 21:30:00 2010,humidity,49
memphis--mon feb 1 21:30:00 2010,windspeed,5
memphis--mon feb 1 21:30:00 2010,conditions,cloudy
milwaukee--thu feb 4 01:40:00 2010,temperature,25 -4
milwaukee--thu feb 4 01:40:00 2010,dewpoint,16
milwaukee--thu feb 4 01:40:00 2010,visibility,10
milwaukee--thu feb 4 01:40:00 2010,humidity,59
milwaukee--thu feb 4 01:40:00 2010,windspeed,0
milwaukee--thu feb 4 01:40:00 2010,conditions,partly cloudy
washington--sun jan 31 05:00:00 2010,temperature,19
washington--sun jan 31 05:00:00 2010,dewpoint,10
washington--sun jan 31 05:00:00 2010,visibility,2 1/2
washington--sun jan 31 05:00:00 2010,humidity,73
washington--sun jan 31 05:00:00 2010,windspeed,17
washington--sun jan 31 05:00:00 2010,conditions,weather warningssnow
dallas--fri jan 29 15:50:00 2010,temperature,37
dallas--fri jan 29 15:50:00 2010,dewpoint,36
dallas--fri jan 29 15:50:00 2010,visibility,4
dallas--fri jan 29 15:50:00 2010,humidity,93
dallas--fri jan 29 15:50:00 2010,windspeed,7
dallas--fri jan 29 15:50:00 2010,conditions,showers
sandiego--mon feb 1 04:40:00 2010,temperature,57 14
sandiego--mon feb 1 04:40:00 2010,dewpoint,48
sandiego--mon feb 1 04:40:00 2010,visibility,10
sandiego--mon feb 1 04:40:00 2010,humidity,72
sandiego--mon feb 1 04:40:00 2010,windspeed,0
sandiego--mon feb 1 04:40:00 2010,conditions,clear sky
newyork--sun jan 31 15:15:00 2010,temperature,14
newyork--sun jan 31 15:15:00 2010,dewpoint,5
newyork--sun jan 31 15:15:00 2010,visibility,10
newyork--sun jan 31 15:15:00 2010,humidity,48
newyork--sun jan 31 15:15:00 2010,windspeed,calm
newyork--sun jan 31 15:15:00 2010,conditions,clear
memphis--mon feb 1 19:10:00 2010,temperature,40
memphis--mon feb 1 19:10:00 2010,dewpoint,30
memphis--mon feb 1 19:10:00 2010,visibility,10
memphis--mon feb 1 19:10:00 2010,humidity,65
memphis--mon feb 1 19:10:00 2010,windspeed,0
memphis--mon feb 1 19:10:00 2010,conditions,mostly cloudy
philadelphia--sun jan 31 21:10:00 2010,temperature,29
philadelphia--sun jan 31 21:10:00 2010,dewpoint,5
philadelphia--sun jan 31 21:10:00 2010,visibility,10
philadelphia--sun jan 31 21:10:00 2010,humidity,35
philadelphia--sun jan 31 21:10:00 2010,windspeed,3
philadelphia--sun jan 31 21:10:00 2010,conditions,clear
denver--sun jan 31 21:20:00 2010,temperature,39
denver--sun jan 31 21:20:00 2010,dewpoint,18 -8
denver--sun jan 31 21:20:00 2010,visibility,20
denver--sun jan 31 21:20:00 2010,humidity,44
denver--sun jan 31 21:20:00 2010,windspeed,6
denver--sun jan 31 21:20:00 2010,conditions,clear sky
losangeles--sat jan 30 17:50:00 2010,temperature,53
losangeles--sat jan 30 17:50:00 2010,dewpoint,46
losangeles--sat jan 30 17:50:00 2010,visibility,6
losangeles--sat jan 30 17:50:00 2010,humidity,72
losangeles--sat jan 30 17:50:00 2010,windspeed,1
losangeles--sat jan 30 17:50:00 2010,conditions,haze
boston--mon feb 1 03:50:00 2010,temperature,25 -4
boston--mon feb 1 03:50:00 2010,dewpoint,5
boston--mon feb 1 03:50:00 2010,visibility,10
boston--mon feb 1 03:50:00 2010,humidity,42
boston--mon feb 1 03:50:00 2010,windspeed,13
boston--mon feb 1 03:50:00 2010,conditions,partly cloudy
dallas--mon feb 1 10:20:00 2010,temperature,33.5
dallas--mon feb 1 10:20:00 2010,dewpoint,29
dallas--mon feb 1 10:20:00 2010,visibility,6
dallas--mon feb 1 10:20:00 2010,humidity,85
dallas--mon feb 1 10:20:00 2010,windspeed,calm
dallas--mon feb 1 10:20:00 2010,conditions,mostly cloudy
baltimore--mon feb 1 03:10:00 2010,temperature,28 -2
baltimore--mon feb 1 03:10:00 2010,dewpoint,6
baltimore--mon feb 1 03:10:00 2010,visibility,10
baltimore--mon feb 1 03:10:00 2010,humidity,46
baltimore--mon feb 1 03:10:00 2010,windspeed,0
baltimore--mon feb 1 03:10:00 2010,conditions,clear
nashville--mon feb 1 19:55:00 2010,temperature,38
nashville--mon feb 1 19:55:00 2010,dewpoint,25
nashville--mon feb 1 19:55:00 2010,visibility,10
nashville--mon feb 1 19:55:00 2010,humidity,72
nashville--mon feb 1 19:55:00 2010,windspeed,3
nashville--mon feb 1 19:55:00 2010,conditions,mostly cloudy
memphis--sun jan 31 10:15:00 2010,temperature,22
memphis--sun jan 31 10:15:00 2010,dewpoint,16
memphis--sun jan 31 10:15:00 2010,visibility,10
memphis--sun jan 31 10:15:00 2010,humidity,77
memphis--sun jan 31 10:15:00 2010,windspeed,0
memphis--sun jan 31 10:15:00 2010,conditions,clear
boston--sun jan 31 17:40:00 2010,temperature,22
boston--sun jan 31 17:40:00 2010,dewpoint,-2
boston--sun jan 31 17:40:00 2010,visibility,10
boston--sun jan 31 17:40:00 2010,humidity,34
boston--sun jan 31 17:40:00 2010,windspeed,9
boston--sun jan 31 17:40:00 2010,conditions,partly sunny
lasvegas--sat jan 30 22:55:00 2010,temperature,56.7
lasvegas--sat jan 30 22:55:00 2010,dewpoint,35
lasvegas--sat jan 30 22:55:00 2010,visibility,10
lasvegas--sat jan 30 22:55:00 2010,humidity,49
lasvegas--sat jan 30 22:55:00 2010,windspeed,4
lasvegas--sat jan 30 22:55:00 2010,conditions,mostly cloudy
oklahomacity--sun jan 31 04:15:00 2010,temperature,20
oklahomacity--sun jan 31 04:15:00 2010,dewpoint,19
oklahomacity--sun jan 31 04:15:00 2010,visibility,6
oklahomacity--sun jan 31 04:15:00 2010,humidity,94
oklahomacity--sun jan 31 04:15:00 2010,windspeed,0
oklahomacity--sun jan 31 04:15:00 2010,conditions,cloudy
baltimore--fri jan 29 15:45:00 2010,temperature,19 -7
baltimore--fri jan 29 15:45:00 2010,dewpoint,5
baltimore--fri jan 29 15:45:00 2010,visibility,10
baltimore--fri jan 29 15:45:00 2010,humidity,52
baltimore--fri jan 29 15:45:00 2010,windspeed,8
baltimore--fri jan 29 15:45:00 2010,conditions,mostly cloudy
washington--mon feb 1 06:50:00 2010,temperature,24
washington--mon feb 1 06:50:00 2010,dewpoint,12-oct
washington--mon feb 1 06:50:00 2010,visibility,10
washington--mon feb 1 06:50:00 2010,humidity,57
washington--mon feb 1 06:50:00 2010,windspeed,0
washington--mon feb 1 06:50:00 2010,conditions,partly cloudy
sanantonio--mon feb 1 03:50:00 2010,temperature,37.4
sanantonio--mon feb 1 03:50:00 2010,dewpoint,30
sanantonio--mon feb 1 03:50:00 2010,visibility,7
sanantonio--mon feb 1 03:50:00 2010,humidity,73
sanantonio--mon feb 1 03:50:00 2010,windspeed,4
sanantonio--mon feb 1 03:50:00 2010,conditions,overcast
indianapolis--wed feb 3 12:45:00 2010,temperature,25
indianapolis--wed feb 3 12:45:00 2010,dewpoint,19
indianapolis--wed feb 3 12:45:00 2010,visibility,7
indianapolis--wed feb 3 12:45:00 2010,humidity,80
indianapolis--wed feb 3 12:45:00 2010,windspeed,9
indianapolis--wed feb 3 12:45:00 2010,conditions,mostly cloudy
nashville--fri jan 29 09:25:00 2010,temperature,28
nashville--fri jan 29 09:25:00 2010,dewpoint,16
nashville--fri jan 29 09:25:00 2010,visibility,10
nashville--fri jan 29 09:25:00 2010,humidity,58
nashville--fri jan 29 09:25:00 2010,windspeed,8
nashville--fri jan 29 09:25:00 2010,conditions,mostly cloudy
nashville--sat jan 30 02:45:00 2010,temperature,27 -3
nashville--sat jan 30 02:45:00 2010,dewpoint,25 -4
nashville--sat jan 30 02:45:00 2010,visibility,1
nashville--sat jan 30 02:45:00 2010,humidity,92
nashville--sat jan 30 02:45:00 2010,windspeed,10
nashville--sat jan 30 02:45:00 2010,conditions,snow
jacksonville--mon feb 1 08:10:00 2010,temperature,47
jacksonville--mon feb 1 08:10:00 2010,dewpoint,42
jacksonville--mon feb 1 08:10:00 2010,visibility,10
jacksonville--mon feb 1 08:10:00 2010,humidity,83
jacksonville--mon feb 1 08:10:00 2010,windspeed,2
jacksonville--mon feb 1 08:10:00 2010,conditions,mostly cloudy
dallas--thu feb 4 03:10:00 2010,temperature,43
dallas--thu feb 4 03:10:00 2010,dewpoint,37
dallas--thu feb 4 03:10:00 2010,visibility,6
dallas--thu feb 4 03:10:00 2010,humidity,85
dallas--thu feb 4 03:10:00 2010,windspeed,10
dallas--thu feb 4 03:10:00 2010,conditions,cloudy
chicago--mon feb 1 06:05:00 2010,temperature,19 -7
chicago--mon feb 1 06:05:00 2010,dewpoint,9
chicago--mon feb 1 06:05:00 2010,visibility,10
chicago--mon feb 1 06:05:00 2010,humidity,63
chicago--mon feb 1 06:05:00 2010,windspeed,6
chicago--mon feb 1 06:05:00 2010,conditions,partly cloudy
nashville--tue feb 2 05:30:00 2010,temperature,35
nashville--tue feb 2 05:30:00 2010,dewpoint,30
nashville--tue feb 2 05:30:00 2010,visibility,9
nashville--tue feb 2 05:30:00 2010,humidity,83
nashville--tue feb 2 05:30:00 2010,windspeed,calm
nashville--tue feb 2 05:30:00 2010,conditions,overcast
washington--thu feb 4 10:25:00 2010,temperature,34 1
washington--thu feb 4 10:25:00 2010,dewpoint,19
washington--thu feb 4 10:25:00 2010,visibility,10
washington--thu feb 4 10:25:00 2010,humidity,55
washington--thu feb 4 10:25:00 2010,windspeed,10
washington--thu feb 4 10:25:00 2010,conditions,winter storm watchclear
newyork--wed feb 3 11:15:00 2010,temperature,28 -2
newyork--wed feb 3 11:15:00 2010,dewpoint,14
newyork--wed feb 3 11:15:00 2010,visibility,2.5
newyork--wed feb 3 11:15:00 2010,humidity,49
newyork--wed feb 3 11:15:00 2010,windspeed,6
newyork--wed feb 3 11:15:00 2010,conditions,snow
chicago--wed feb 3 01:15:00 2010,temperature,31
chicago--wed feb 3 01:15:00 2010,dewpoint,27
chicago--wed feb 3 01:15:00 2010,visibility,4
chicago--wed feb 3 01:15:00 2010,humidity,85
chicago--wed feb 3 01:15:00 2010,windspeed,7
chicago--wed feb 3 01:15:00 2010,conditions,light snow
chicago--thu feb 4 12:40:00 2010,temperature,24
chicago--thu feb 4 12:40:00 2010,dewpoint,19
chicago--thu feb 4 12:40:00 2010,visibility,6
chicago--thu feb 4 12:40:00 2010,humidity,80
chicago--thu feb 4 12:40:00 2010,windspeed,0
chicago--thu feb 4 12:40:00 2010,conditions,mostly cloudy
newyork--sun jan 31 16:55:00 2010,temperature,18 -8
newyork--sun jan 31 16:55:00 2010,dewpoint,0 -18
newyork--sun jan 31 16:55:00 2010,visibility,10
newyork--sun jan 31 16:55:00 2010,humidity,45
newyork--sun jan 31 16:55:00 2010,windspeed,9
newyork--sun jan 31 16:55:00 2010,conditions,sunny
oklahomacity--fri jan 29 09:25:00 2010,temperature,28
oklahomacity--fri jan 29 09:25:00 2010,dewpoint,26
oklahomacity--fri jan 29 09:25:00 2010,visibility,6
oklahomacity--fri jan 29 09:25:00 2010,humidity,86
oklahomacity--fri jan 29 09:25:00 2010,windspeed,16
oklahomacity--fri jan 29 09:25:00 2010,conditions,freezing drizzle
austin--sat jan 30 06:15:00 2010,temperature,32 0
austin--sat jan 30 06:15:00 2010,dewpoint,23
austin--sat jan 30 06:15:00 2010,visibility,10
austin--sat jan 30 06:15:00 2010,humidity,70
austin--sat jan 30 06:15:00 2010,windspeed,calm
austin--sat jan 30 06:15:00 2010,conditions,scattered clouds
losangeles--wed feb 3 18:05:00 2010,temperature,49
losangeles--wed feb 3 18:05:00 2010,dewpoint,45
losangeles--wed feb 3 18:05:00 2010,visibility,7
losangeles--wed feb 3 18:05:00 2010,humidity,70
losangeles--wed feb 3 18:05:00 2010,windspeed,0
losangeles--wed feb 3 18:05:00 2010,conditions,clear
charlotte--mon feb 1 05:20:00 2010,temperature,28 -2
charlotte--mon feb 1 05:20:00 2010,dewpoint,23
charlotte--mon feb 1 05:20:00 2010,visibility,10
charlotte--mon feb 1 05:20:00 2010,humidity,93
charlotte--mon feb 1 05:20:00 2010,windspeed,0
charlotte--mon feb 1 05:20:00 2010,conditions,partly cloudy
jacksonville--sun jan 31 01:25:00 2010,temperature,66
jacksonville--sun jan 31 01:25:00 2010,dewpoint,63
jacksonville--sun jan 31 01:25:00 2010,visibility,10
jacksonville--sun jan 31 01:25:00 2010,humidity,84
jacksonville--sun jan 31 01:25:00 2010,windspeed,12
jacksonville--sun jan 31 01:25:00 2010,conditions,mostly cloudy
lasvegas--mon feb 1 10:30:00 2010,temperature,43 6
lasvegas--mon feb 1 10:30:00 2010,dewpoint,34
lasvegas--mon feb 1 10:30:00 2010,visibility,10
lasvegas--mon feb 1 10:30:00 2010,humidity,70
lasvegas--mon feb 1 10:30:00 2010,windspeed,0
lasvegas--mon feb 1 10:30:00 2010,conditions,clear
charlotte--mon feb 1 20:40:00 2010,temperature,47 8
charlotte--mon feb 1 20:40:00 2010,dewpoint,24
charlotte--mon feb 1 20:40:00 2010,visibility,10
charlotte--mon feb 1 20:40:00 2010,humidity,55
charlotte--mon feb 1 20:40:00 2010,windspeed,calm
charlotte--mon feb 1 20:40:00 2010,conditions,scattered clouds
fortworth--mon feb 1 04:40:00 2010,temperature,32
fortworth--mon feb 1 04:40:00 2010,dewpoint,27
fortworth--mon feb 1 04:40:00 2010,visibility,7
fortworth--mon feb 1 04:40:00 2010,humidity,81
fortworth--mon feb 1 04:40:00 2010,windspeed,0
fortworth--mon feb 1 04:40:00 2010,conditions,mostly clear
detroit--sat jan 30 03:25:00 2010,temperature,16
detroit--sat jan 30 03:25:00 2010,dewpoint,1
detroit--sat jan 30 03:25:00 2010,visibility,10
detroit--sat jan 30 03:25:00 2010,humidity,52
detroit--sat jan 30 03:25:00 2010,windspeed,5
detroit--sat jan 30 03:25:00 2010,conditions,clear
sanfrancisco--sun jan 31 05:05:00 2010,temperature,52
sanfrancisco--sun jan 31 05:05:00 2010,dewpoint,49
sanfrancisco--sun jan 31 05:05:00 2010,visibility,10
sanfrancisco--sun jan 31 05:05:00 2010,humidity,89
sanfrancisco--sun jan 31 05:05:00 2010,windspeed,13
sanfrancisco--sun jan 31 05:05:00 2010,conditions,mostly clear
milwaukee--sat jan 30 07:00:00 2010,temperature,16
milwaukee--sat jan 30 07:00:00 2010,dewpoint,4
milwaukee--sat jan 30 07:00:00 2010,visibility,10
milwaukee--sat jan 30 07:00:00 2010,humidity,58
milwaukee--sat jan 30 07:00:00 2010,windspeed,10
milwaukee--sat jan 30 07:00:00 2010,conditions,overcast
newyork--sun jan 31 22:40:00 2010,temperature,30
