tid,attribute,correct_val
9780072232066,author_list,jon juarez; john carter; kathleen stewart
9780072232196,title,mcse planning a windows(r) server network infrastructure study guide (exam 70-293) with windows(r) server 2003 180-day trial software
9780072232196,author_list,diana huggins
9780072232325,title,mcse/mcsa windows? server 2003 environment study guide (exam 70-290) with microsoft windows(r) server 2003 180-day trial
9780072232325,author_list,anil desai
9780072253603,title,scjp sun certified programmer for java 5 study guide (exam 310-055) (certification press study guides)
9780072253603,author_list,katherine sierra; bert bates
9780072253658,title,rhce red hat certified engineer linux study guide exam (rh302)
9780072253658,author_list,michael jang
9780072254280,title,oracle database 10g high availability with rac; flashback; and data guard (osborne oracle press series)
9780072254280,author_list,matthew hart; scott jesse
9780072254631,title,simnet concepts release 1.5
9780072254631,author_list,triad interactive
9780072254914,title,advanced programming using visual basic.net with student cd
9780072254914,author_list,julia case bradley; anita c millspaugh
9780072255539,title,the pc doctor's fix it yourself guide
9780072255539,author_list,adrian kingsley-hughes
9780072255881,title,photoshop and dreamweaver integration (one-off)
9780072255881,author_list,colin smith
9780072256758,title,hacking exposed computer forensics: secrets and solutions
9780072256758,author_list,chris davis; aaron philipp; dave cowen
9780072257045,title,capm(tm) certified associate in project management all-in-one exam guide
9780072257045,author_list,joseph phillips
9780072263206,title,cwsp certified wireless security professional official study guide (exam pw0-200); second edition
9780072263206,author_list,tom carpenter; grant moerschel; richard dreger
9780072263848,title,java : a beginner's guide; 4th ed
9780072263848,author_list,herbert schildt
9780072300413,title,computer concepts in econonomics
9780072300413,author_list,donna thompson
9780072320862,title,computer organization
9780072320862,author_list,v. carl hamacher; zvonko g. vranesic; safwat g. zaky
9780072337488,title,o'leary series: microsoft powerpoint 2000 introductory edition
9780072337488,author_list,timothy j o'leary linda i o'leary
9780072371925,title,the statistical imagination (with free computer applications cd-rom and student version spss 9.0)
9780072371925,author_list,ferris j. ritchey
9780072397024,title,business data communications
9780072397024,author_list,behrouz a forouzan
9780072472509,title,the o'leary series: windows xp- brief
9780072472509,author_list,timothy j. o'leary; linda i. o'leary; linda o'leary
9780072478808,title,annual editions: computers in education
9780072478808,author_list,john hirschbuhl
9780072499544,title,o'leary series: ms office 2000 enhanced edition
9780072499544,author_list,timothy j o'leary linda i o'leary timothy o'leary
9780072551877,title,simnet xpert combined pageout edition release 3.0
9780072551877,author_list,triad interactive
9780072552584,title,it today with interactive companion 3.0
9780072552584,author_list,mcgraw-hill
9780072560312,title,programming the web using xhtml and javascript
9780072560312,author_list,larry randles lagerstrom; larry lagerstrom
9780072565089,title,bluej the interactive environment cd
9780072565089,author_list,rosenberg
9780072565850,title,microsoft xp handbook: your guide to transitioning to office xp and windows xp
9780072565850,author_list,harry knight
9780072830613,title,i-series : microsoft office access 2003 introductory
9780072830613,author_list,stephen haag; james t perry; merrill wells
9780072830767,title,i-series: microsoft office access 2003 complete
9780072830767,author_list,stephen haag; james t perry
9780072834345,title,advantage series : microsoft office access 2003; complete edition
9780072834345,author_list,glen coulthard; sarah hutchinson_clifford
9780072835595,title,o'leary series : microsoft access 2003 introductory
9780072835595,author_list,timothy j o'leary; linda i o'leary
9780072844528,title,programming the web using visual studio .net w/student cd
9780072844528,author_list,david mercer; david mercer
9780072845501,title,programming the web using xml (web developer series)
9780072845501,author_list,ellen pearlman; eileen mullin
9780072847154,title,annual editions: computers in education 04/05
9780072847154,author_list,john hirschbuhl
9780072872156,title,simnet concepts: an interactive student cd-rom
9780072872156,author_list,triad interactive
9780072944792,title,simnet xpert combined pageout edition release 3.1
9780072944792,author_list,triad interactive
9780072944815,title,simnet xpert assessment pageout release 3.1
9780072944815,author_list,triad interactive
9780072944822,title,simnet xpert combined standard edition release 3.1
9780072944822,author_list,triad interactive
9780072944846,title,simnet xpert assessment standard edition release 3.1
9780072944846,author_list,triad interactive
9780072958706,title,simnet xpert release 4 combined standard edition
9780072958706,author_list,triad interactive
9780072958713,title,simnet xpert release 4 combined pageout edition
9780072958713,author_list,triad interactive
9780072966237,title,simnet xpert release 4 enterprise edition office suite
9780072966237,author_list,triad interactive
9780072971293,title,simnet for office 2003 standard edition
9780072971293,author_list,triad interactive
9780072978476,title,peter norton's computing fundamentals 6e
9780072978476,author_list,peter norton
9780072978902,title,peter norton's intro to computers 6/e
9780072978902,author_list,peter norton
9780073131122,title,computer accounting essentials using quickbooks
9780073131122,author_list,carol yacht; susan crosson
9780073131146,title,computer accounting with quickbooks 2006
9780073131146,author_list,donna ulmer
9780073273266,title,computer accounting with microsoft great plains 8.0 w/ software cd
9780073273266,author_list,carol yacht; susan crosson
9780073273273,title,computer accounting essentials w/great plains 8.0 cd
9780073273273,author_list,carol yacht; susan crosson
9780073288512,title,computer accounting with peachtree complete 2006; release 13.0 w/student cd-rom
9780073288512,author_list,carol yacht; peachtree software
9780073528328,title,computers in society 06/07
9780073528328,author_list,paul de palma
9780073660967,title,programming logic for business
9780073660967,author_list,laura saret
9780078204616,title,a professional approach series: office 2000 integrated applications student edition with cd-rom
9780078204616,author_list,joyce gleason
9780078216770,title,introduction to help desk concepts and skills
9780078216770,author_list,susan sanderson
9780120421718,title,network simulation experiments manual (the morgan kaufmann series in networking)
9780120421718,author_list,emad aboelela
9780120510405,title,information tasks (library and information science)
9780120510405,author_list,bryce l. allen
9780120884223,title,gmpls: architecture and applications (the morgan kaufmann series in networking)
9780120884223,author_list,adrian farrel; igor bryskin
9780120884773,title,network algorithmics;: an interdisciplinary approach to designing fast networked devices (the morgan kaufmann series in networking)
9780120884773,author_list,george varghese
9780120885602,title,smart phone and next generation mobile computing (morgan kaufmann series in networking (paperback))
9780120885602,author_list,pei zheng; lionel ni
9780120887989,title,data model patterns: a metadata map (the morgan kaufmann series in data management systems)
9780120887989,author_list,david c. hay
9780120887996,title,moving objects databases (the morgan kaufmann series in data management systems) (the morgan kaufmann series in data management systems)
9780120887996,author_list,ralf hartmut guting; markus schneider
9780120959709,title,modern information systems for managers
9780120959709,author_list,hossein bidgoli
9780121028206,title,the system engineer's handbook (the morgan kaufmann series in computer architecture and design)
9780121028206,author_list,john black
9780121339609,title,art and science of digital compositing
9780121339609,author_list,ron brinkman
9780121604523,title,carrington enterprise directory and security implementation guide
9780121604523,author_list,charles carrington; tim speed; juanita ellis
9780121631031,title,handbook of computer crime investigation: forensic tools and technology
9780121631031,author_list,eoghan casey
9780121631048,title,digital evidence and computer crime
9780121631048,author_list,eoghan casey
9780121631055,title,investigating child exploitation and pornography: the internet; law and forensic science
9780121631055,author_list,monique ferraro; eoghan casey
9780121942755,title,fuzzy modeling tools for data mining and knowledge discovery (the morgan kaufmann series in data management systems)
9780121942755,author_list,earl cox
9780122374715,title,the internet security guidebook: from planning to deployment (the korper and ellis e-commerce books series)
9780122374715,author_list,juanita ellis; tim speed
9780122513411,title,mac os x developer's guide
9780122513411,author_list,jesse feiler
9780122941511,title,supply chain design and management (academic press series in engineering)
9780122941511,author_list,manish govil; jean-marie proth
9780123116338,title,network security: a practical approach (the morgan kaufmann series in networking)
9780123116338,author_list,jan l. harrington
9780123229809,title,cache memory book; the; second edition (the morgan kaufmann series in computer architecture and design)
9780123229809,author_list,jim handy
9780123540515,title,rapid contextual design: a how-to guide to key techniques for user-centered design (the morgan kaufmann series in interactive technologies)
9780123540515,author_list,karen holtzblatt; jessamyn burns wendell; shelley wood
9780123694461,title,foundations of multidimensional and metric data structures (the morgan kaufmann series in computer graphics)
9780123694461,author_list,hanan samet
9780123694591,title,computers as components principles of embedded computing system design
9780123694591,author_list,wayne wolf
9780123694737,title,programming with quartz: 2d and pdf graphics in mac os x (the morgan kaufmann series in computer graphics)
9780123694737,author_list,david gelphman; bunny laden
9780123695123,title,joe celko's analytics and olap in sql (the morgan kaufmann series in data management systems)
9780123695123,author_list,joe celko
9780123695130,title,fastsoa: the way to use native xml technology to achieve service oriented architecture governance; scalability; and performance (the morgan kaufmann series in data management systems)
9780123695130,author_list,frank cohen
9780123695314,title,pattern recognition
9780123695314,author_list,sergios theodoridis; konstantinos koutroumbas
9780123725011,title,practical model-based testing: a tools approach
9780123725011,author_list,mark utting; bruno legeard
9780123735775,title,data preparation for data mining using sas (the morgan kaufmann series in data management systems)
9780123735775,author_list,mamdouh refaat
9780123735966,title,joe celko's sql puzzles and answers (morgan kaufmann series in data management systems)
9780123735966,author_list,joe celko
9780124383807,title,fundamentals of spatial information systems (apic studies in data processing)
9780124383807,author_list,robert laurini; derek thompson
9780124477513,title,ipv6 core protocols implementation (the morgan kaufmann series in networking)
9780124477513,author_list,qing li; tatuya jinmei; keiichi shima
9780124558403,title,enterprise knowledge management: the data quality approach (the morgan kaufmann series in data management systems)
9780124558403,author_list,david loshin
9780124650305,title,information services for innovative organizations (library and information science)
9780124650305,author_list,carmel maguire
9780124841406,title,computer simulation: a practical perspective
9780124841406,author_list,roger mchaney
9780125184069,title,usability engineering
9780125184069,author_list,jakob nielsen
9780125250955,title,fundamentals of optical waveguides (optics and photonics)
9780125250955,author_list,katsunari okamoto
9780125852630,title,high dynamic range imaging: acquisition; display; and image-based lighting (the morgan kaufmann series in computer graphics)
9780125852630,author_list,erik reinhard; greg ward; sumanta pattanaik; paul debevec
9780126542615,title,organizing information; first edition : principles of data base and retrieval systems (library and information science)
9780126542615,author_list,dagobert soergel
9780126565614,title,the personal internet security guidebook: keeping hackers and crackers out of your home (the korper and ellis e-commerce books series)
9780126565614,author_list,tim speed; juanita ellis; steffano korper; timothy speed
9780126567557,title,jstl : practical guide for jsp programmers (the practical guides)
9780126567557,author_list,sue spielman
9780127150512,title,network recovery: protection and restoration of optical; sonet-sdh; ip; and mpls (the morgan kaufmann series in networking)
9780127150512,author_list,jean-philippe vasseur; mario pickavet; piet demeester
9780127323503,title,multi-tier application programming with php: practical guide for architects and programmers (practical guides series)
9780127323503,author_list,david wall
9780127347608,title,mathematics mechanization and applications
9780127347608,author_list,dongming wang xiao-shan gao
9780127425030,title,grid computing : the savvy manager's guide (the savvy manager's guides)
9780127425030,author_list,pawel plaszczak; jr.; richard wellner
9780127427515,title,java cryptography extensions : practical guide for programmers (the practical guides)
9780127427515,author_list,jason weiss
9780127887746,title,compression algorithms for real programmers (the for real programmers series)
9780127887746,author_list,peter wayner
9780130166388,title,java 2 programmer's interactive workbook
9780130166388,author_list,kevin chu; eric brower
9780130174802,title,spatial databases a tour
9780130174802,author_list,shashi shekhar
9780130186614,title,essential discrete math for computer science
9780130186614,author_list,todd feil; joan krone
9780130286529,title,understanding relational database query languages
9780130286529,author_list,suzanne w dietrich
9780130460998,title,multimedia wireless networks: technologies; standards and qos
9780130460998,author_list,aura ganz; zvi ganz; kitti wongthavarawat
9780130467096,title,a balanced introduction to computer science
9780130467096,author_list,david reed
9780130481900,title,the art of compiler design: theory and practice
9780130481900,author_list,thomas pittman james peters
9780130486233,title,java programming today
9780130486233,author_list,barbara johnston
9780130602398,title,fundamentals of structured program design (2nd edition)
9780130602398,author_list,dan robinson
9780130654878,title,logic and language models for computer science
9780130654878,author_list,henry hamburger; dana richards
9780130669483,title,discrete math with proof
9780130669483,author_list,eric gossett
9780130853752,title,c++ programming today (with 2 cd-roms)
9780130853752,author_list,barbara johnston
9780130858504,title,data structures with c++ using stl (2nd edition)
9780130858504,author_list,william ford; william topp
9780130920652,title,business programming logic (4th edition)
9780130920652,author_list,jay singelmann
9780131013766,title,parallel and distributed programming using c++
9780131013766,author_list,cameron hughes; tracey hughes
9780131018570,title,database systems using oracle
9780131018570,author_list,nilesh shah
9780131176553,title,introduction to computing and programming with python; a multimedia approach
9780131176553,author_list,mark guzdial
9780131176867,title,discrete mathematics (6th edition) (jk computer science and mathematics)
9780131176867,author_list,richard johnsonbaugh
9780131401600,title,developing enterprise web services: an architect's guide
9780131401600,author_list,sandeep chatterjee; james webber
9780131420441,title,mips assembly language programming
9780131420441,author_list,robert britton
9780131424159,title,java; an eventful approach
9780131424159,author_list,kim bruce; andrea danyluk; thomas murtagh
9780131427815,title,practical debugging in java
9780131427815,author_list,ann ford; toby teorey; sandy bartlett; gary tyson
9780131436978,title,java application development with linux
9780131436978,author_list,carl albing; michael schwarz
9780131452541,title,computer graphics programming; problem solving; and visual communication
9780131452541,author_list,steve cunningham
9780131453494,title,imperfect xml : rants; raves; tips; and tricks ... from an insider
9780131453494,author_list,david megginson
9780131474345,title,java; java; java; object-oriented problem solving (3rd edition)
9780131474345,author_list,ralph morelli; ralph walde
9780131482395,title,agile java crafting code with test driven development
9780131482395,author_list,jeff langr
9780131492028,title,java: an introduction to problem solving and programming (4th edition)
9780131492028,author_list,walter savitch
9780131496989,title,introduction to programming with java: a multimedia approach
9780131496989,author_list,ericson; barbara; guzdial; mark
9780131498624,title,spring into php 5
9780131498624,author_list,steven holzner
9780131735798,title,java for students (5th edition)
9780131735798,author_list,douglas bell; mike parr
9780131739024,title,painting the digital river: how an artist learned to love the computer
9780131739024,author_list,james faure walker
9780131853546,title,spring into linux
9780131853546,author_list,janet valade
9780131856455,title,essential java class reference for programmers; the (3rd edition)
9780131856455,author_list,brian durney
9780131972599,title,synchronization algorithms and concurrent programming
9780131972599,author_list,gadi taubenfeld
9780131986190,title,data structures outside-in with java
9780131986190,author_list,sesh venugopal
9780132141710,title,discrete mathematical models; with applications to social; biological; and environmental problems
9780132141710,author_list,fred s. roberts
9780133350685,title,fundamentals of algorithmics
9780133350685,author_list,gilles brassard; paul bratley
9780134999975,title,introduction to the x window system
9780134999975,author_list,oliver jones
9780139194245,title,c++ for java programmers
9780139194245,author_list,weiss; mark allen
9780201157673,title,genetic algorithms in search; optimization; and machine learning
9780201157673,author_list,david e. goldberg
9780201179286,title,c traps and pitfalls
9780201179286,author_list,andrew koenig
9780201183955,title,standard c++ iostreams and locales: advanced programmer's guide and reference
9780201183955,author_list,angelika langer; klaus kreft
9780201183993,title,a book on c: programming in c (4th edition)
9780201183993,author_list,al kelley; ira pohl
9780201309447,title,directx; rdx; rsx; and mmx technology a jumpstart guide to high performance apis
9780201309447,author_list,rohan coelho; maher hawash
9780201309720,title,programming for the java virtual machine
9780201309720,author_list,joshua engel
9780201309805,title,digital certificates: applied internet security
9780201309805,author_list,jalal feghhi; peter williams
9780201310085,title,java(tm) language specification (2nd edition)
9780201310085,author_list,bill joy; guy steele; james gosling; gilad bracha
9780201310153,title,effective c++ cd:85 specific ways to improve your programs and designs
9780201310153,author_list,scott meyers
9780201325706,title,nfs illustrated
9780201325706,author_list,brent callaghan
9780201325713,title,applied software architecture
9780201325713,author_list,christine hofmeister; robert nord; dilip soni
9780201325744,title,scaling oracle8i: building highly scalable oltp system architectures
9780201325744,author_list,james morle
9780201325812,title,designing applications with msmq : message queuing for developers
9780201325812,author_list,alan dickman
9780201357424,title,network management principles and practice
9780201357424,author_list,mani subramanian
9780201379242,title,kerberos: a network authentication system
9780201379242,author_list,brian tung
9780201379365,title,essential winlnet: developing applications using the windows internet api with ras; isapi; asp; and com
9780201379365,author_list,aaron skonnard
9780201379372,title,the humane interface: new directions for designing interactive systems
9780201379372,author_list,jef raskin
9780201379433,title,object design: roles; responsibilities; and collaborations
9780201379433,author_list,rebecca wirfs_brock; alan mckean
9780201379501,title,efficient c++: performance programming techniques
9780201379501,author_list,dov bulka; david mayhew
9780201379617,title,dynamic html: the html developer's guide
9780201379617,author_list,jeff rule
9780201395198,title,c++ for c programmers; third edition (3rd edition)
9780201395198,author_list,ira pohl
9780201398151,title,software engineering (6th edition)
9780201398151,author_list,ian sommerville
9780201398182,title,multimedia communications: applications; networks; protocols; and standards
9780201398182,author_list,fred halsall
9780201398441,title,programming internet with java: revised edition
9780201398441,author_list,darrel ince; adam freeman
9780201407099,title,opengl programming for windows 95 and windows nt
9780201407099,author_list,ron fosner
9780201407877,title,lotus notes idea book
9780201407877,author_list,jeff kovel;kent quirk;jay gabin
9780201422191,title,cgi programming in c and perl
9780201422191,author_list,thomas boutell
9780201432947,title,the java(tm) virtual machine specification (2nd edition)
9780201432947,author_list,tim lindholm; frank yellin
9780201433319,title,collaborative web development: strategies and best practices for web teams
9780201433319,author_list,jessica burdman
9780201440997,title,computer security: art and science
9780201440997,author_list,matt bishop
9780201442342,title,multithreading applications in win32: the complete guide to threads
9780201442342,author_list,jim beveridge; robert wiener
9780201477085,title,operating system projects using windows nt
9780201477085,author_list,gary nutt
9780201483260,title,btrieve complete: a guide for developers and system administrators
9780201483260,author_list,kyle jim
9780201485554,title,practical issues in database management: a reference for the thinking practitioner
9780201485554,author_list,fabian pascal
9780201498349,title,surviving object-oriented projects
9780201498349,author_list,alistair cockburn
9780201498370,title,doing hard time: developing real-time systems with uml; objects; frameworks and patterns
9780201498370,author_list,bruce powel douglass
9780201517972,title,the art of human-computer interface design
9780201517972,author_list,brenda laurel
9780201523744,title,writing unix device drivers
9780201523744,author_list,george pajari
9780201533774,title,artificial intelligence (3rd edition)
9780201533774,author_list,winston
9780201544350,title,object-oriented software engineering: a use case driven approach
9780201544350,author_list,ivar jacobson
9780201548556,title,advanced c++ programming styles and idioms
9780201548556,author_list,james o. coplien
9780201550603,title,computers as theatre
9780201550603,author_list,brenda laurel
9780201563245,title,kornshell programming tutorial
9780201563245,author_list,barry rosenberg
9780201563337,title,gigabit networking
9780201563337,author_list,craig partridge
9780201563658,title,c++ programming style
9780201563658,author_list,tom cargill
9780201580426,title,on to c
9780201580426,author_list,patrick henry winston
9780201593884,title,the aix survival guide
9780201593884,author_list,andreas siegert
9780201604429,title,programming windows security
9780201604429,author_list,keith brown
9780201608427,title,tog on interface
9780201608427,author_list,bruce tognazzini
9780201609998,title,network management: a practical perspective (2nd edition)
9780201609998,author_list,allan leinwand; karen fang
9780201612462,title,c++ for java programmers
9780201612462,author_list,timothy budd
9780201612738,title,understanding object-oriented programming with java : updated edition (new java 2 coverage)
9780201612738,author_list,timothy budd
9780201615623,title,exceptional c++: 47 engineering puzzles; programming problems; and solutions
9780201615623,author_list,herb sutter
9780201615753,title,developing applications using outlook 2000; cdo; exchange; and visual basic
9780201615753,author_list,raffaele piemonte;scott jamison
9780201615760,title,the guru's guide to transact-sql
9780201615760,author_list,ken henderson
9780201615937,title,requirements: a unified approach (the addison-wesley object technology series)
9780201615937,author_list,dean leffingwell; don widrig
9780201615982,title,ssl and tls: building and designing secure systems
9780201615982,author_list,eric rescorla
9780201616163,title,python programming with the java class libraries a tutorial for building web and enterprise applications with jython
9780201616163,author_list,richard hightower
9780201616262,title,cmm in practice: processes for executing software projects at infosys
9780201616262,author_list,pankaj jalote
9780201616408,title,extreme programming applied: playing to win
9780201616408,author_list,auer ken;miller roy
9780201616460,title,practical java(tm) programming language guide
9780201616460,author_list,peter haggar
9780201619102,title,ip telephony
9780201619102,author_list,olivier hersent
9780201619188,title,distributed systems: concepts and design (3rd edition)
9780201619188,author_list,george coulouris; jean dollimore; tim kindberg
9780201622072,title,sad macs; bombs; and other disasters: and what to do about them
9780201622072,author_list,ted landau
9780201622171,title,windows internals: the implementation of the windows operating environment
9780201622171,author_list,matt pietrek
9780201632088,title,practical algorithms for programmers
9780201632088,author_list,andrew binstock; john rex
9780201632187,title,dos and windows protected mode: programming with dos extenders in c
9780201632187,author_list,al williams
9780201633382,title,unix systems for modern architectures symmetric multiprocessing and caching for kernel programmers
9780201633382,author_list,curt schimmel
9780201633627,title,large-scale c++ software design
9780201633627,author_list,john lakos
9780201633719,title,more effective c++: 35 new ways to improve your programs and designs
9780201633719,author_list,scott meyers
9780201634457,title,oracle designer/2000 handbook
9780201634457,author_list,carrie anderson
9780201634464,title,essential com.
9780201634464,author_list,don box
9780201634488,title,interconnections: bridges; routers; switches; and internetworking protocols (2nd edition)
9780201634488,author_list,radia perlman
9780201634501,title,windows telephony programming: a developer's guide to tapi
9780201634501,author_list,chris sells
9780201634600,title,design by contract by example
9780201634600,author_list,richard mitchell; jim mckim
9780201634976,title,forensic discovery
9780201634976,author_list,dan farmer; wietse venema
9780201648560,title,software engineering: a programming approach (3rd edition)
9780201648560,author_list,douglas bell
9780201657586,title,ldap programming with java(tm)
9780201657586,author_list,rob weltman; tony dahbura
9780201657609,title,implementing adsl
9780201657609,author_list,david ginsburg
9780201657647,title,developing e-commerce sites: an integrated approach
9780201657647,author_list,vivek sharma rajiv sharma
9780201657821,title,web content management: a collaborative approach
9780201657821,author_list,russell nakano
9780201657883,title,programming pearls (2nd edition)
9780201657883,author_list,jon bentley
9780201674729,title,linux and unix shell programming
9780201674729,author_list,david tansley
9780201675160,title,inside internet security: what hackers don't want you to know
9780201675160,author_list,jeff crume
9780201695878,title,c++ distilled : a concise ansi/iso reference and style guide
9780201695878,author_list,ira pohl
9780201699470,title,crystal clear: a human-powered methodology for small teams
9780201699470,author_list,alistair cockburn
9780201699692,title,agile software development
9780201699692,author_list,alistair cockburn
9780201700466,title,the guru's guide to sql server stored procedures; xml; and html
9780201700466,author_list,ken henderson
9780201700473,title,the guru's guide to sql server architecture and internals
9780201700473,author_list,ken henderson
9780201700534,title,ppp design; implementation; and debugging (2nd edition)
9780201700534,author_list,james carlson
9780201701036,title,the engineering of software: a technical guide for the individual
9780201701036,author_list,dick hamlet; joe maybee
9780201702798,title,c for java programmers
9780201702798,author_list,tomasz muldner
9780201703290,title,java card(tm) technology for smart cards: architecture and programmer's guide
9780201703290,author_list,zhiqun chen
9780201703931,title,the java(tm) tutorial: a short course on the basics (3rd edition)
9780201703931,author_list,mary campione; kathy walrath; alison huml
9780201704310,title,modern c++ design: generic programming and design patterns applied
9780201704310,author_list,andrei alexandrescu
9780201704341,title,more exceptional c++: 40 new engineering puzzles; programming problems; and solutions
9780201704341,author_list,herb sutter
9780201705027,title,jndi api tutorial and reference: building directory-enabled java(tm) applications
9780201705027,author_list,rosanna lee; scott seligman
9780201708523,title,developing apps with visual studio.net
9780201708523,author_list,richard grimes
9780201709148,title,essential xml: beyond markup
9780201709148,author_list,don box; aaron skonnard; john lam
9780201709155,title,modeling xml applications with uml: practical e-business applications
9780201709155,author_list,david carlson
9780201710144,title,writing cgi applications with perl
9780201710144,author_list,kevin meltzer; brent michalski
9780201710373,title,java network programming and distributed computing
9780201710373,author_list,david reilly; michael reilly
9780201710885,title,web protocols and practice: http/1.1; networking protocols; caching; and traffic measurement
9780201710885,author_list,balachander krishnamurthy; jennifer rexford
9780201711028,title,programming open service gateways with java embedded server(tm) technology
9780201711028,author_list,kirk chen; li gong
9780201711615,title,the art of objects object-oriented design and architecture
9780201711615,author_list,yun-tung lau
9780201713749,title,c by dissection: the essentials of c programming (4th edition)
9780201713749,author_list,al kelley; ira pohl
9780201714999,title,the wiki way: quick collaboration on the web
9780201714999,author_list,bo leuf;ward cunningham
9780201716238,title,the java class libraries poster; enterprise edition; v1.2
9780201716238,author_list,patrick chan; rosanna lee
9780201719345,title,linux system administration a user's guide
9780201719345,author_list,marcel gagne
9780201719543,title,java development on pdas: building applications for pocket pc and palm devices
9780201719543,author_list,daryl wilding-mcbride
9780201719628,title,building parsers with java
9780201719628,author_list,metsker steve
9780201721522,title,building secure software: how to avoid security problems the right way
9780201721522,author_list,john viega; gary mcgraw
9780201721843,title,patterns for effective use cases
9780201721843,author_list,paul bramble; alistair cockburn; andy pols; steve adolph
9780201722192,title,software design (2nd edition)
9780201722192,author_list,david budgen
9780201722314,title,c++ programming with design patterns revealed
9780201722314,author_list,tomasz muldner
9780201725889,title,java(tm) look and feel design guidelines (2nd edition)
9780201725889,author_list,sun microsystems; inc.
9780201725957,title,linux: the textbook
9780201725957,author_list,syed mansoor sarwar; robert koretsky; syed aqeel sarwar
9780201730463,title,developing distributed and e-commerce applications
9780201730463,author_list,darrel ince
9780201731149,title,squeak: a quick trip to objectland
9780201731149,author_list,gene korienek; tom wrensch; doug dechow
9780201733860,title,software craftmanship the new imperative
9780201733860,author_list,pete mcbreen
9780201734119,title,essentialnet. volume i: the common language runtime
9780201734119,author_list,don box; chris sells
9780201737332,title,object oriented software development using java (2nd edition)
9780201737332,author_list,xiaoping jia
9780201740950,title,essential xml quick reference: a programmer's reference to xml; xpath; xslt; xml schema; soap; and more
9780201740950,author_list,aaron skonnard; martin gudgin
9780201741285,title,data mining : a tutorial-based primer
9780201741285,author_list,richard roiger ; michael geatz
