date_symbol,high,flat_change,last,wklow,prev_close,volume,wkhigh,low,percent_change,open
stock-2011-07-01payx,$ 31.09,0.33,$ 31.05,$ 24.6519,$ 30.72,2-070-249,$ 33.91,$ 30.60,1.07%,$ 30.60
stock-2011-07-01pcar,$ 52.17,0.96,$ 52.05,$ 38.60,$ 51.09,1-983-039,$ 58.75,$ 50.62,1.88%,$ 51.24
stock-2011-07-01pcln,$ 525.24,12.868,$ 524.798,$ 173.75,$ 511.93,1-056-407,$ 561.88,$ 510,2.51%,$ 513.39
stock-2011-07-01qcom,$ 57.98,1.09,$ 57.88,$ 31.63,$ 56.79,12-028-798,$ 59.84,$ 56.44,1.92%,$ 56.79
stock-2011-07-01qgen,$ 19.18,0.05,$ 19.07,$ 16.86,$ 19.02,1-699-768,$ 22.20,$ 19.01,0.26%,$ 19.14
stock-2011-07-01rimm,$ 29,0.08,$ 28.93,$ 25.82,$ 28.85,12-773-888,$ 70.54,$ 28.45,0.28%,$ 28.72
stock-2011-07-01rost,$ 81.35,1.15,$ 81.27,$ 48.71,$ 80.12,816-385,$ 83.11,$ 79.77,1.44%,$ 80.37
stock-2011-07-01sbux,$ 40.26,0.7,$ 40.19,$ 22.50,$ 39.49,6-416-272,$ 39.79,$ 39.50,1.77%,$ 39.62
stock-2011-07-01shld,$ 72.44,0.69,$ 72.13,$ 59.21,$ 71.44,414-172,$ 94.7884,$ 69.65,0.97%,$ 71.05
stock-2011-07-01sial,$ 74.265,0.86,$ 74.24,$ 48.80,$ 73.38,673-614,$ 73.60,$ 73.07,1.17%,$ 73.54
stock-2011-07-01sndk,$ 42.92,1.3,$ 42.80,$ 33.03,$ 41.50,5-720-157,$ 53.605,$ 41.51,3.13%,$ 41.69
stock-2011-07-01spls,$ 15.98,0.12,$ 15.92,$ 14.75,$ 15.80,10-818-730,$ 23.75,$ 15.73,0.76%,$ 15.89
stock-2011-07-01srcl,$ 91.25,2.1,$ 91.22,$ 61.02,$ 89.12,516-044,$ 95.71,$ 89.36,2.36%,$ 89.56
stock-2011-07-01stx,$ 16.37,0.2,$ 16.36,$ 9.84,$ 16.16,5-382-998,$ 18.35,$ 15.95,1.24%,$ 16.18
stock-2011-07-01symc,$ 19.885,0.11,$ 19.83,$ 12.04,$ 19.72,6-781-157,$ 20.50,$ 19.71,0.56%,$ 19.82
stock-2011-07-01teva,$ 49.06,0.78,$ 49,$ 44.86,$ 48.22,4-004-825,$ 57.08,$ 48.30,1.62%,$ 48.47
stock-2011-07-01urbn,$ 29.07,0.77,$ 28.92,$ 27.96,$ 28.15,3-343-521,$ 39.26,$ 28.07,2.74%,$ 28.18
stock-2011-07-01vmed,$ 30.50,0.31,$ 30.24,$ 16.24,$ 29.93,4-867-103,$ 33.32,$ 30.03,1.04%,$ 30.24
stock-2011-07-01vod,$ 26.96,0.18,$ 26.90,$ 20.71,$ 26.72,8-993-917,$ 32.70,$ 26.40,0.67%,$ 26.42
stock-2011-07-01vrsn,$ 34.07,0.42,$ 33.88,$ 25.73,$ 33.46,2-213-030,$ 37.73,$ 33.31,1.26%,$ 33.37
stock-2011-07-01vrtx,$ 51.92,0.29,$ 51.70,$ 31.25,$ 51.99,1-458-378,$ 58.87,$ 51.08,0.56%,$ 51.49
stock-2011-07-01wcrx,$ 24.34,0.2,$ 24.33,$ 19.01,$ 24.13,1-277-481,$ 30.57,$ 24,0.83%,$ 24.10
stock-2011-07-01wfm,$ 64.41,0.96,$ 64.41,$ 33.96,$ 63.45,1-124-067,$ 66.87,$ 63.38,1.51%,$ 63.69
stock-2011-07-01wynn,$ 150.53,6.03,$ 149.57,$ 73.12,$ 143.54,2-569-107,$ 151.73,$ 143.54,4.2%,$ 144.54
stock-2011-07-01xlnx,$ 37.23,0.585,$ 37.055,$ 23.96,$ 36.47,3-751-093,$ 36.60,$ 36.35,1.6%,$ 36.57
stock-2011-07-01xray,$ 38.54,0.44,$ 38.52,$ 27.76,$ 38.08,2-793-472,$ 40.16,$ 37.92,1.16%,$ 38.19
stock-2011-07-01yhoo,$ 15.50,0.41,$ 15.45,$ 12.94,$ 15.04,15-327-483,$ 18.84,$ 15.02,2.73%,$ 15.07
stock-2011-07-04aapl,$ 343.50,7.59,$ 343.26,$ 235.56,$ 335.67,15-546-887,$ 364.90,$ 334.20,2.26%,$ 335.95
stock-2011-07-04adbe,$ 31.65,0.08,$ 31.53,$ 25.45,$ 31.45,4-218-336,$ 35.99,$ 31.24,0.25%,$ 31.33
stock-2011-07-04adp,$ 53.99,1.21,$ 53.89,$ 38.41,$ 52.68,2-969-703,$ 55.12,$ 52.48,2.3%,$ 52.56
stock-2011-07-04adsk,$ 38.89,0.1,$ 38.70,$ 23.64,$ 38.60,3-290-774,$ 46.15,$ 38.44,0.26%,$ 38.60
stock-2011-07-04akam,$ 31.65,0.02,$ 31.49,$ 28.69,$ 31.47,5-017-857,$ 54.65,$ 30.98,0.06%,$ 31.37
stock-2011-07-04altr,$ 47.75,1.18,$ 47.53,$ 24.20,$ 46.35,3-772-111,$ 49.59,$ 46.20,2.55%,$ 46.44
stock-2011-07-04alxn,$ 47.51,0.48,$ 47.51,$ 24.305,$ 47.03,846-696,$ 52.50,$ 46.91,1.02%,$ 46.91
stock-2011-07-04amat,$ 13.31,0.28,$ 13.29,$ 10.27,$ 13.01,11-676-055,$ 16.93,$ 12.88,2.15%,$ 13.01
stock-2011-07-04amgn,$ 58.44,0.07,$ 58.28,$ 50.26,$ 58.35,5-357-972,$ 61.53,$ 57.89,0.12%,$ 58.44
stock-2011-07-04amzn,$ 210.27,5.0,$ 209.49,$ 105.80,$ 204.49,4-012-454,$ 206.39,$ 203.61,2.45%,$ 205.55
stock-2011-07-04apol,$ 47.72,2.78,$ 46.46,$ 33.75,$ 43.68,6-404-343,$ 53.61,$ 45.62,6.36%,$ 45.98
stock-2011-07-04atvi,$ 11.88,0.16,$ 11.84,$ 10.32,$ 11.68,3-530-576,$ 12.65,$ 11.64,1.37%,$ 11.71
stock-2011-07-04bbby,$ 59.525,1.02,$ 59.39,$ 35.55,$ 58.37,2-231-344,$ 58.62,$ 58.40,1.75%,$ 58.48
stock-2011-07-04bidu,$ 143.35,3.216,$ 143.346,$ 65.90,$ 140.13,7-246-560,$ 156.04,$ 138.90,2.3%,$ 139.44
stock-2011-07-04biib,$ 108.64,1.58,$ 108.50,$ 46.15,$ 106.92,1-707-355,$ 109.63,$ 106.92,1.48%,$ 107.35
stock-2011-07-04bmc,$ 56.10,1.09,$ 55.79,$ 34.24,$ 54.70,2-345-787,$ 56.16,$ 54.80,1.99%,$ 54.84
stock-2011-07-04brcm,$ 34.70,0.77,$ 34.41,$ 29.90,$ 33.64,6-435-688,$ 47.39,$ 33.59,2.29%,$ 33.82
stock-2011-07-04ca,$ 23.18,0.33,$ 23.17,$ 17.70,$ 22.84,3-193-179,$ 25.68,$ 22.77,1.44%,$ 22.87
stock-2011-07-04celg,$ 60.97,0.56,$ 60.88,$ 48.02,$ 60.32,2-517-237,$ 63.46,$ 60.17,0.93%,$ 60.75
stock-2011-07-04cern,$ 62.59,1.43,$ 62.54,$ 36.025,$ 61.11,954-982,$ 62.955,$ 60.82,2.34%,$ 61.36
stock-2011-07-04chkp,$ 56.89,0.10,$ 56.75,$ 28.82,$ 56.85,1-535-789,$ 56.923,$ 56.25,0.18%,$ 56.64
stock-2011-07-04chrw,$ 80.99,1.78,$ 80.62,$ 54.50,$ 78.84,978-535,$ 82.05,$ 78.8426,2.26%,$ 79.10
stock-2011-07-04cmcsa,$ 25.79,0.5025,$ 25.73,$ 16.76,$ 25.2275,11-710-240,$ 27.16,$ 25.17,1.99%,$ 25.30
stock-2011-07-04cost,$ 81.70,0.3,$ 81.54,$ 53.41,$ 81.24,2-087-453,$ 83.95,$ 81.04,0.37%,$ 81.50
stock-2011-07-04csco,$ 15.95,0.25,$ 15.86,$ 14.78,$ 15.61,65-135-439,$ 26,$ 15.60,1.6%,$ 15.65
stock-2011-07-04ctrp,$ 44.17,0.97,$ 44.05,$ 31.35,$ 43.08,1-357-295,$ 53.16,$ 42.68,2.25%,$ 43.24
stock-2011-07-04ctsh,$ 74.8596,1.46,$ 74.80,$ 48.98,$ 73.34,2-166-648,$ 83.48,$ 73.1201,1.99%,$ 73.48
stock-2011-07-04ctxs,$ 81.32,0.78,$ 80.78,$ 41.62,$ 80,1-686-578,$ 88.4895,$ 79.97,0.98%,$ 80.31
stock-2011-07-04dell,$ 17,0.31,$ 16.98,$ 11.34,$ 16.67,13-751-028,$ 16.96,$ 16.60,1.86%,$ 16.70
stock-2011-07-04dltr,$ 68.50,1.61,$ 68.23,$ 40.60,$ 66.62,949-414,$ 67.99,$ 66.74,2.42%,$ 67.02
stock-2011-07-04dtv,$ 51.84,0.94,$ 51.76,$ 33.25,$ 50.82,3-707-602,$ 51.23,$ 50.78,1.85%,$ 51.11
stock-2011-07-04ebay,$ 32.80,0.47,$ 32.74,$ 19.06,$ 32.27,12-962-578,$ 35.35,$ 31.99,1.46%,$ 32.22
stock-2011-07-04erts,$ 24.20,0.59,$ 24.19,$ 14.06,$ 23.60,4-909-801,$ 24.79,$ 23.40,2.5%,$ 23.57
stock-2011-07-04esrx,$ 54.35,0.02,$ 53.96,$ 41.55,$ 53.98,6-220-677,$ 60.89,$ 53.78,0.04%,$ 54.08
stock-2011-07-04expd,$ 52.49,1.24,$ 52.43,$ 33.65,$ 51.19,1-136-556,$ 57.15,$ 51.19,2.42%,$ 51.21
stock-2011-07-04expe,$ 29.63,0.55,$ 29.54,$ 18.30,$ 28.99,2-273-078,$ 29.85,$ 28.89,1.9%,$ 28.96
stock-2011-07-04fast,$ 36.71,0.66,$ 36.65,$ 22.32,$ 35.99,2-942-038,$ 36.42,$ 36,1.83%,$ 36.04
stock-2011-07-04ffiv,$ 113.33,2.91,$ 113.16,$ 66.79,$ 110.25,1-431-223,$ 145.76,$ 110.13,2.64%,$ 110.83
stock-2011-07-04fisv,$ 64,1.115,$ 63.745,$ 44.85,$ 62.63,739-570,$ 64.89,$ 62.38,1.78%,$ 62.77
stock-2011-07-04flex,$ 6.61,0.18,$ 6.60,$ 4.86,$ 6.42,3-879-867,$ 8.50,$ 6.42,2.8%,$ 6.45
stock-2011-07-04flir,$ 34.28,0.49,$ 34.20,$ 24,$ 33.71,1-062-690,$ 37.29,$ 33.34,1.45%,$ 33.58
stock-2011-07-04fslr,$ 133.48,0.79,$ 133.06,$ 111.40,$ 132.27,1-744-448,$ 175.449,$ 129.1109,0.6%,$ 130.66
stock-2011-07-04gild,$ 41.97,0.54,$ 41.95,$ 31.73,$ 41.41,6-229-757,$ 42.93,$ 41.38,1.3%,$ 41.44
stock-2011-07-04gmcr,$ 90.94,1.09,$ 90.35,$ 24.84,$ 89.26,1-189-282,$ 90.01,$ 89.16,1.22%,$ 89.61
stock-2011-07-04goog,$ 521.18,14.648,$ 521.028,$ 433.63,$ 506.38,3-636-642,$ 642.96,$ 506.38,2.89%,$ 506.74
stock-2011-07-04grmn,$ 33.72,0.55,$ 33.58,$ 26.11,$ 33.03,1-264-206,$ 36.42,$ 33.05,1.67%,$ 33.12
stock-2011-07-04hsic,$ 73.01,1.35,$ 72.94,$ 50.96,$ 71.59,400-821,$ 74.48,$ 71.28,1.89%,$ 71.73
stock-2011-07-04ilmn,$ 76.39,0.86,$ 76.01,$ 41.155,$ 75.15,1-140-010,$ 76.81,$ 74.85,1.14%,$ 75.16
stock-2011-07-04infy,$ 66.14,0.84,$ 66.07,$ 56.73,$ 65.23,1-138-794,$ 77.92,$ 65.26,1.29%,$ 65.60
stock-2011-07-04intc,$ 22.58,0.37,$ 22.53,$ 17.60,$ 22.16,35-841-178,$ 23.96,$ 22.10,1.67%,$ 22.25
stock-2011-07-04intu,$ 52.37,0.38,$ 52.24,$ 34,$ 51.86,1-607-746,$ 56.46,$ 51.63,0.73%,$ 51.97
stock-2011-07-04isrg,$ 379.40,6.54,$ 378.65,$ 246.05,$ 372.11,229-938,$ 377.84,$ 371.44,1.76%,$ 373.25
stock-2011-07-04joyg,$ 97.53,1.9,$ 97.14,$ 48.05,$ 95.24,1-975-893,$ 103.44,$ 93.69,1.99%,$ 94.68
stock-2011-07-04klac,$ 41.631,0.97,$ 41.45,$ 26.69,$ 40.48,1-739-260,$ 51.83,$ 40.21,2.4%,$ 40.53
stock-2011-07-04life,$ 52.61,0.26,$ 52.33,$ 41.10,$ 52.07,2-315-938,$ 57.25,$ 51.83,0.5%,$ 52.24
stock-2011-07-04linta,$ 17.24,0.42,$ 17.19,$ 10.075,$ 16.77,3-349-881,$ 18.645,$ 16.70,2.5%,$ 16.78
stock-2011-07-04lltc,$ 33.54,0.41,$ 33.43,$ 27.03,$ 33.02,2-119-324,$ 36.14,$ 32.97,1.24%,$ 33.09
stock-2011-07-04lrcx,$ 45.65,0.99,$ 45.27,$ 35.39,$ 44.28,1-537-412,$ 59.10,$ 43.8992,2.24%,$ 44.32
stock-2011-07-04mat,$ 28,0.5,$ 27.99,$ 20.57,$ 27.49,2-224-752,$ 27.73,$ 27.49,1.82%,$ 27.55
stock-2011-07-04mchp,$ 38.49,0.44,$ 38.35,$ 27.19,$ 37.91,1-432-096,$ 41.50,$ 37.76,1.16%,$ 37.98
stock-2011-07-04mrvl,$ 15.20,0.345,$ 15.11,$ 13.17,$ 14.765,9-706-173,$ 22.01,$ 14.70,2.34%,$ 14.79
stock-2011-07-04msft,$ 26.17,0.02,$ 26.02,$ 22.73,$ 26,52-914-516,$ 29.46,$ 25.84,0.08%,$ 25.95
stock-2011-07-04mu,$ 7.85,0.35,$ 7.83,$ 6.36,$ 7.48,30-641-354,$ 11.95,$ 7.37,4.68%,$ 7.46
stock-2011-07-04mxim,$ 26.09,0.33,$ 25.89,$ 15.67,$ 25.56,1-716-253,$ 28.44,$ 25.48,1.29%,$ 25.56
stock-2011-07-04myl,$ 24.99,0.3,$ 24.97,$ 16.55,$ 24.67,4-782-821,$ 25.46,$ 24.52,1.22%,$ 24.67
stock-2011-07-04nflx,$ 268.26,5.3,$ 267.99,$ 95.33,$ 262.69,3-991-984,$ 277.70,$ 262.06,2.02%,$ 262.06
stock-2011-07-04nihd,$ 43.18,0.77,$ 43.15,$ 32.36,$ 42.38,983-128,$ 46.32,$ 41.97,1.82%,$ 42.27
stock-2011-07-04ntap,$ 54.57,1.54,$ 54.32,$ 36.66,$ 52.78,8-717-503,$ 61.02,$ 53.07,2.92%,$ 53.51
stock-2011-07-04nvda,$ 16.21,0.21,$ 16.145,$ 8.65,$ 15.935,13-520-098,$ 26.17,$ 15.62,1.32%,$ 15.94
stock-2011-07-04nwsa,$ 18.07,0.36,$ 18.06,$ 11.61,$ 17.70,13-072-552,$ 18.35,$ 17.58,2.03%,$ 17.74
stock-2011-07-04orcl,$ 33.20,0.14,$ 33.05,$ 21.24,$ 32.91,25-382-326,$ 36.50,$ 32.48,0.43%,$ 32.89
stock-2011-07-04orly,$ 66.52,0.7,$ 66.21,$ 45.65,$ 65.51,1-663-017,$ 65.63,$ 65.55,1.07%,$ 65.61
stock-2011-07-04payx,$ 31.09,0.33,$ 31.05,$ 24.6519,$ 30.72,2-094-283,$ 33.91,$ 30.60,1.07%,$ 30.60
stock-2011-07-04pcar,$ 52.17,0.96,$ 52.05,$ 38.60,$ 51.09,1-993-159,$ 58.75,$ 50.62,1.88%,$ 51.24
stock-2011-07-04pcln,$ 525.24,12.868,$ 524.798,$ 173.75,$ 511.93,1-058-528,$ 561.88,$ 510,2.51%,$ 513.39
stock-2011-07-04qcom,$ 57.98,1.09,$ 57.88,$ 31.63,$ 56.79,12-142-000,$ 59.84,$ 56.44,1.92%,$ 56.79
stock-2011-07-04qgen,$ 19.18,0.05,$ 19.07,$ 16.86,$ 19.02,1-703-137,$ 22.20,$ 19.01,0.26%,$ 19.14
stock-2011-07-04rimm,$ 29,0.08,$ 28.93,$ 25.82,$ 28.85,12-787-901,$ 70.54,$ 28.45,0.28%,$ 28.72
stock-2011-07-04rost,$ 81.35,1.15,$ 81.27,$ 48.71,$ 80.12,822-180,$ 83.11,$ 79.77,1.44%,$ 80.37
stock-2011-07-04sbux,$ 40.26,0.7,$ 40.19,$ 22.50,$ 39.49,6-439-168,$ 39.79,$ 39.50,1.77%,$ 39.62
stock-2011-07-04shld,$ 72.44,0.69,$ 72.13,$ 59.21,$ 71.44,416-698,$ 94.7884,$ 69.65,0.97%,$ 71.05
stock-2011-07-04sial,$ 74.265,0.86,$ 74.24,$ 48.80,$ 73.38,679-669,$ 73.60,$ 73.07,1.17%,$ 73.54
stock-2011-07-04sndk,$ 42.92,1.3,$ 42.80,$ 33.03,$ 41.50,5-753-266,$ 53.605,$ 41.51,3.13%,$ 41.69
